OTU,Kingdom,Phylum,Class,Order,Family,Genus
Otu00021,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Pseudocohnilembus
Otu00022,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Choreotrichia_unclassified
Otu00023,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys
Otu00024,Eukaryota,Bicosoecida,Bicosoecida_cl,Bicosoecida_or,Bicosoecida_fa,Bicosoecida_ge
Otu00025,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00026,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_unclassified,Sporidiobolales_unclassified
Otu00027,Eukaryota,Arthropoda,Maxillopoda,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified
Otu00028,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00029,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00030,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula
Otu00031,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudokeronopsis
Otu00032,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00033,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00034,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula
Otu00035,Eukaryota,Phragmoplastophyta,Embryophyta,Brassicales,Brassicales_fa,Arabidopsis
Otu00036,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia
Otu00037,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00038,Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,Paraphysomonas
Otu00039,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified
Otu00040,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae_Sedis,Candida
Otu00041,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unclassified,Pleosporales_unclassified
Otu00042,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00043,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus
Otu00044,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus
Otu00045,Eukaryota,Arthropoda,Insecta,Thysanoptera,Thysanoptera_fa,Thysanoptera_ge
Otu00046,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Choreotrichia_unclassified
Otu00047,Eukaryota,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Bensingtonia
Otu00048,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00049,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00050,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00051,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00052,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporidiobolus
Otu00053,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00054,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_unclassified,Saccharomycetales_unclassified
Otu00055,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Dothideales_unclassified,Dothideales_unclassified
Otu00056,Eukaryota,Basidiomycota,Exobasidiomycetes,Malasseziales,Incertae_Sedis,Malassezia
Otu00057,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu00058,Eukaryota,Arthropoda,Maxillopoda,Harpacticoida,Harpacticoida_fa,Harpacticoida_ge
Otu00059,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu00060,Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellales_fa,Pedinellales_ge
Otu00061,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00062,Eukaryota,Cercozoa,Glissomonadida,Glissomonadida_or,Glissomonadida_fa,Glissomonadida_ge
Otu00063,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00064,Eukaryota,Phragmoplastophyta,Embryophyta,Embryophyta_unclassified,Embryophyta_unclassified,Embryophyta_unclassified
Otu00065,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00066,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00067,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00068,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_Sedis,Incertae_Sedis_unclassified
Otu00069,Eukaryota,Chlorophyta_ph,Ulvophyceae,Acrosiphoniales,Acrosiphoniales_fa,Urospora
Otu00070,Eukaryota,Basidiomycota,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes_unclassified
Otu00071,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00072,Eukaryota,Cercozoa,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified
Otu00073,Eukaryota,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema
Otu00074,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00075,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00076,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00077,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Debaryomyces
Otu00078,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Pichia
Otu00079,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00080,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00081,Eukaryota,Ochrophyta,Chrysophyceae,Chrysophyceae_unclassified,Chrysophyceae_unclassified,Chrysophyceae_unclassified
Otu00082,Eukaryota,Ochrophyta,Chrysophyceae,Chrysophyceae_unclassified,Chrysophyceae_unclassified,Chrysophyceae_unclassified
Otu00083,Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Sicyoidochytrium
Otu00084,Eukaryota,Porifera,Demospongiae,Spongillida,Spongillida_fa,Spongillida_ge
Otu00085,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00086,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00087,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Oxytricha
Otu00088,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00089,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00090,Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,Paraphysomonas
Otu00091,Eukaryota,MAST-12,MAST-12A,MAST-12A_or,MAST-12A_fa,MAST-12A_ge
Otu00092,Eukaryota,Phragmoplastophyta,Embryophyta,Liliopsida,Poales_fa,Poales_fa_unclassified
Otu00093,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu00094,Eukaryota,Protalveolata,Protalveolata_unclassified,Protalveolata_unclassified,Protalveolata_unclassified,Protalveolata_unclassified
Otu00095,Eukaryota,Phragmoplastophyta,Embryophyta,Embryophyta_unclassified,Embryophyta_unclassified,Embryophyta_unclassified
Otu00096,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00097,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00098,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00099,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma
Otu00100,Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellales_fa,Pedinellales_fa_unclassified
Otu00101,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00102,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00103,Eukaryota,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
Otu00104,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu00105,Eukaryota,Chytridiomycota,Incertae_Sedis,Rhizophydiales,Rhizophydiales_unclassified,Rhizophydiales_unclassified
Otu00106,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu00107,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Delphinella
Otu00108,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00109,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Uroleptopsis
Otu00110,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Holosticha
Otu00111,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula
Otu00112,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00113,Eukaryota,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema
Otu00114,Eukaryota,Vertebrata,Actinopterygii,Teleostei_or,Teleostei_fa,Teleostei_ge
Otu00115,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_unclassified,Capnodiales_unclassified
Otu00116,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00117,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00118,Eukaryota,Basidiomycota,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes_unclassified
Otu00119,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu00120,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00121,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_unclassified,Tremellales_unclassified
Otu00122,Eukaryota,Phragmoplastophyta,Embryophyta,Embryophyta_unclassified,Embryophyta_unclassified,Embryophyta_unclassified
Otu00123,Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecida_unclassified,Acanthoecida_unclassified,Acanthoecida_unclassified
Otu00124,Eukaryota,Basidiomycota,Exobasidiomycetes,Exobasidiomycetes_unclassified,Exobasidiomycetes_unclassified,Exobasidiomycetes_unclassified
Otu00125,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00126,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified
Otu00127,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00128,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00129,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomycetaceae_unclassified
Otu00130,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unclassified,Pleosporales_unclassified
Otu00131,Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellales_fa,Pedinellales_fa_unclassified
Otu00132,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremellaceae_unclassified
Otu00133,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Stokesia
Otu00134,Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Spumella
Otu00135,Eukaryota,Basidiomycota,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes_unclassified
Otu00136,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula
Otu00137,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu00138,Eukaryota,Ochrophyta,Chrysophyceae,Synurales,Synurales_fa,Synurales_fa_unclassified
Otu00139,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00140,Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus
Otu00141,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Diatoma
Otu00142,Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Fragilariales_unclassified
Otu00143,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unclassified,Pleosporales_unclassified
Otu00144,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Litonotus
Otu00145,Eukaryota,Phragmoplastophyta,Embryophyta,Embryophyta_unclassified,Embryophyta_unclassified,Embryophyta_unclassified
Otu00146,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Choreotrichia_unclassified
Otu00147,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00148,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu00149,Eukaryota,Chlorophyta_ph,Chlorodendrophyceae,Chlorodendrales,Chlorodendrales_fa,Tetraselmis
Otu00150,Eukaryota,Basidiomycota,Tremellomycetes,Tremellomycetes_unclassified,Tremellomycetes_unclassified,Tremellomycetes_unclassified
Otu00151,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00152,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00153,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00154,Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Fragilariales_unclassified
Otu00155,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidiaceae_unclassified
Otu00156,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu00157,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00158,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00159,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00160,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Carchesium
Otu00161,Eukaryota,Phragmoplastophyta,Embryophyta,Liliopsida,Zingiberales_fa,Costus
Otu00162,Eukaryota,Basidiomycota,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes_unclassified
Otu00163,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Incertae_Sedis_ge
Otu00164,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium
Otu00165,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00166,Eukaryota,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora
Otu00167,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00168,Eukaryota,Stramenopiles_ph,Placididea,Placididea_or,Placididea_fa,Placididea_ge
Otu00169,Eukaryota,Chlorophyta_ph,Chlorodendrophyceae,Chlorodendrales,Chlorodendrales_fa,Tetraselmis
Otu00170,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_unclassified,Capnodiales_unclassified
Otu00171,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00172,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00173,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Haptoria_unclassified
Otu00174,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00175,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00176,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00177,Eukaryota,Basidiomycota,Agaricomycetes,Hymenochaetales,Tubulicrinaceae,Hyphodontia
Otu00178,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Haptoria_unclassified
Otu00179,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Haptoria_unclassified
Otu00180,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00181,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00182,Eukaryota,Phragmoplastophyta,Embryophyta,Embryophyta_unclassified,Embryophyta_unclassified,Embryophyta_unclassified
Otu00183,Eukaryota,Stramenopiles_ph,Placididea,Placididea_or,Placididea_fa,Placididea_ge
Otu00184,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00185,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00186,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00187,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00188,Eukaryota,Vertebrata,Mammalia,Mammalia_or,Mammalia_fa,Mammalia_ge
Otu00189,Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellales_fa,Pedinellales_fa_unclassified
Otu00190,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Telotrochidium
Otu00191,Eukaryota,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidiaceae,Exobasidium
Otu00192,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00193,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Haptoria_unclassified
Otu00194,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00195,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00196,Eukaryota,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora
Otu00197,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia
Otu00198,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00199,Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Spumella
Otu00200,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00201,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00202,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Choreotrichia_unclassified
Otu00203,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_unclassified,Saccharomycetales_unclassified
Otu00204,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fa,Pleosporales_ge
Otu00205,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_Sedis,Sporobolomyces
Otu00206,Eukaryota,Ascomycota,Leotiomycetes,Erysiphales,Erysiphales_fa,Erysiphales_ge
Otu00207,Eukaryota,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_unclassified,Hymenochaetales_unclassified
Otu00208,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_unclassified,Capnodiales_unclassified
Otu00209,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu00210,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00211,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula
Otu00212,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified
Otu00213,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified
Otu00214,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu00215,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00216,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00217,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Chlamydomonas
Otu00218,Eukaryota,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Mrakia
Otu00219,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma
