Group,S20_1_4,S20_1_5,S20_1_6,S20_2_4,S20_2_5,S20_2_6,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6
ASV000203,0,0,0,0,0,0,0,0,0,0,0,0
ASV000204,0,0,0,0,0,0,0,0,0,0,0,0
ASV000205,0,36,0,0,0,0,0,0,0,0,0,0
ASV000206,0,0,0,0,0,0,0,0,0,0,0,0
ASV000207,0,59,0,81,0,0,0,0,0,0,0,0
ASV000208,0,0,0,0,0,0,0,0,0,0,0,0
ASV000209,0,0,0,0,0,0,0,0,0,0,0,0
ASV000210,0,0,0,0,0,0,0,0,0,0,0,0
ASV000211,0,0,0,0,0,0,0,0,0,0,0,0
ASV000212,0,0,0,0,0,0,0,0,0,0,0,0
ASV000213,0,0,0,0,0,0,0,0,0,0,0,0
ASV000214,0,0,0,0,0,0,0,0,0,0,60,0
ASV000215,0,0,0,0,0,0,0,0,0,0,0,0
ASV000216,0,0,0,0,0,0,0,0,0,0,0,0
ASV000217,0,0,0,0,0,0,0,0,0,0,0,0
ASV000218,0,0,0,0,0,0,0,0,0,0,0,0
ASV000219,0,40,0,0,0,0,0,0,0,0,0,0
ASV000220,0,0,0,0,0,0,0,0,0,0,0,0
ASV000221,133,0,0,0,0,0,0,0,0,0,0,0
ASV000222,0,0,133,0,0,0,0,0,0,0,0,0
ASV000223,0,0,0,0,0,0,0,0,0,0,0,0
ASV000224,0,0,0,0,0,0,0,0,0,0,0,0
ASV000225,0,0,0,0,0,0,0,0,0,105,0,0
ASV000226,0,0,0,0,0,0,0,0,0,0,0,0
ASV000227,0,0,0,0,0,0,0,0,0,0,0,0
ASV000228,0,0,0,0,0,0,0,0,0,0,0,0
ASV000229,0,0,0,0,0,0,0,0,0,0,0,0
ASV000230,0,0,0,0,0,0,0,0,0,0,0,0
ASV000231,0,0,29,0,0,0,0,1,0,0,0,0
ASV000232,0,0,0,0,0,0,0,0,0,0,0,0
ASV000233,0,0,74,0,0,0,0,0,0,0,0,0
ASV000234,0,0,0,0,0,0,0,0,0,0,118,0
ASV000235,0,0,126,0,0,0,0,0,0,0,0,0
ASV000236,0,0,0,0,0,0,0,0,0,125,0,0
ASV000237,0,0,0,0,0,0,0,0,0,0,115,0
ASV000238,0,0,0,0,0,0,0,0,0,0,0,0
ASV000239,0,0,0,0,0,0,0,0,0,0,0,0
ASV000240,0,4,1,0,0,0,0,0,0,0,0,0
ASV000241,0,0,0,0,0,0,0,0,0,0,0,0
ASV000242,0,1,0,0,0,0,0,0,0,0,101,0
ASV000243,0,0,1,0,0,0,0,0,0,0,0,0
ASV000244,0,0,0,0,0,0,0,0,0,0,0,0
ASV000245,0,0,0,0,0,0,0,0,0,0,0,0
ASV000246,0,0,0,0,0,0,0,0,0,0,0,0
ASV000247,0,0,0,0,0,0,0,0,0,0,0,0
ASV000248,0,0,0,0,0,0,0,0,0,0,0,0
ASV000249,0,0,0,0,0,0,0,0,0,117,0,0
ASV000250,0,0,0,0,0,0,0,0,0,0,0,0
ASV000251,0,0,0,0,0,0,0,0,0,0,0,0
ASV000252,0,0,0,0,0,0,0,0,0,0,0,0
ASV000253,0,0,0,0,0,0,0,0,0,0,0,0
ASV000254,0,0,0,0,0,0,0,0,0,0,0,0
ASV000255,0,0,0,0,0,0,0,0,0,0,0,0
ASV000256,0,0,0,0,0,0,0,0,0,0,0,0
ASV000257,0,0,0,0,0,0,0,0,0,0,0,0
ASV000258,0,0,0,0,0,0,0,0,0,0,0,0
ASV000259,0,0,0,0,0,0,0,0,0,0,0,0
ASV000260,0,0,0,0,0,0,0,0,0,0,0,0
ASV000261,0,0,0,0,0,0,0,0,0,0,0,0
ASV000262,0,0,0,0,0,0,0,0,0,0,0,1
ASV000263,0,0,0,0,0,0,0,0,0,0,0,0
ASV000264,0,0,0,0,0,0,0,0,0,0,0,0
ASV000265,0,0,0,0,0,0,0,0,0,0,0,0
ASV000266,0,0,0,0,0,0,0,0,0,0,0,0
ASV000267,0,0,0,0,0,0,0,0,0,0,0,0
ASV000268,0,0,5,0,0,0,0,0,0,0,0,0
ASV000269,0,0,86,0,0,0,0,0,0,0,1,0
ASV000270,0,0,0,0,0,0,0,0,0,0,0,0
ASV000271,0,0,0,0,0,0,0,0,0,0,0,0
ASV000272,0,0,0,106,0,0,0,0,0,0,0,0
ASV000273,0,0,0,0,0,0,0,0,10,0,0,0
ASV000274,0,0,0,0,0,0,0,0,0,0,0,0
ASV000275,0,0,0,0,0,0,0,0,0,0,0,0
ASV000276,0,0,0,0,0,0,0,0,0,0,0,0
ASV000277,0,0,0,0,0,0,0,0,0,0,0,0
ASV000278,0,0,0,0,0,0,0,0,0,103,0,0
ASV000279,0,0,0,0,0,0,0,0,0,0,0,0
ASV000280,0,0,0,0,0,0,0,0,0,0,0,0
ASV000281,0,0,0,0,0,0,0,0,0,0,0,0
ASV000282,99,0,0,0,0,0,0,0,0,0,0,0
ASV000283,0,0,0,0,0,0,0,0,0,0,0,0
ASV000284,0,0,0,0,0,0,0,0,0,0,0,0
ASV000285,0,1,0,0,0,0,0,0,0,0,0,0
ASV000286,0,0,0,0,0,0,0,0,0,0,0,0
ASV000287,0,0,0,0,0,0,0,0,0,0,0,0
ASV000288,0,0,0,0,0,0,0,0,0,0,0,0
ASV000289,0,0,0,0,0,0,0,0,0,0,0,0
ASV000290,0,0,0,0,0,0,0,0,0,0,0,0
ASV000291,0,0,0,0,0,0,0,0,0,0,0,0
ASV000292,0,0,0,0,0,0,0,0,0,98,0,0
ASV000293,0,0,0,0,0,0,0,0,0,0,0,0
ASV000294,0,0,0,0,0,0,0,0,0,0,0,0
ASV000295,0,0,0,0,0,0,0,0,0,0,79,0
ASV000296,0,0,0,0,0,0,0,0,0,0,0,0
ASV000297,0,0,0,17,0,0,0,0,0,0,0,0
ASV000298,0,1,0,0,0,0,0,0,0,0,0,0
ASV000299,0,8,0,0,0,0,0,0,0,0,0,0
ASV000300,0,0,0,0,0,0,0,0,0,0,0,0
ASV000301,0,0,0,0,0,0,0,0,0,0,0,0
ASV000302,0,0,0,0,2,0,0,0,0,0,0,0
ASV000303,0,0,0,0,0,0,0,0,0,0,0,0
ASV000304,0,0,0,0,0,0,0,0,0,0,90,0
ASV000305,0,0,22,0,0,0,0,0,0,0,0,0
ASV000306,0,0,0,0,0,0,0,0,0,0,0,0
ASV000307,0,0,0,0,0,0,0,0,0,0,0,0
ASV000308,0,0,0,0,0,0,0,0,0,0,0,0
ASV000309,0,0,1,0,0,0,0,0,0,0,0,0
