Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K03791,Average,813980,2,0.000303317,0.000606634,0.01694347,0.01694347,,,,,,,
K03791,Average,569456,1,0.00031657,0.00031657,0.008841895,0.008841895,,,,,,,
K03791,Average,1033018,1,0.001690764,0.001690764,0.047223542,0.047223542,,,,,,,
K03791,Average,359570,1,0.000261892,0.000261892,0.007314722,0.007314722,,,,,,,
K03791,Average,2353709,1,0.000886395,0.000886395,0.024757279,0.024757279,,,,,,,
K03791,Average,1034564,1,0.00080928,0.00080928,0.022603434,0.022603434,,,,,,,
K03791,Average,658233,1,0.000812331,0.000812331,0.022688649,0.022688649,,,,,,,
K03791,Average,236204,1,0.000174595,0.000174595,0.004876485,0.004876485,,,,,,,
K03791,Average,974121,1,0.001023018,0.001023018,0.0285732,0.0285732,,,,,,,
K03791,Average,2111163,1,0.003514936,0.003514936,0.09817322,0.09817322,,,,,,,
K03791,Average,541859,1,0.000766554,0.000766554,0.021410084,0.021410084,,,,,,,
K03791,Average,922761,1,0.007554427,0.007554427,0.210997419,0.210997419,,,,,,,
K03791,Average,325947,1,0.00291244,0.00291244,0.081345325,0.081345325,,,,,,,
K01452,Average,593437,1,0.397350946,0.397350946,0.007779321,0.007779321,,,,,,,
K01452,Average,773900,1,0.349701245,0.349701245,0.006846437,0.006846437,,,,,,,
K01452,Average,579705,1,0.110588244,0.110588244,0.002165092,0.002165092,,,,,,,
K01452,Average,812921,1,0.063282004,0.063282004,0.001238933,0.001238933,,,,,,,
K01452,Average,91845,1,0.006125505,0.006125505,0.000119925,0.000119925,,,,,,,
K01452,Average,4327501,1,0.000946475,0.000946475,1.85E-05,1.85E-05,,,,,,,
K01452,Average,722628,1,1.035583795,1.035583795,0.020274619,0.020274619,,,,,,,
K01452,Average,818369,1,0.008962966,0.008962966,0.000175477,0.000175477,,,,,,,
K01452,Average,588165,1,0.00040464,0.00040464,7.92E-06,7.92E-06,,,,,,,
K01452,Average,705967,1,0.168736564,0.168736564,0.003303518,0.003303518,,,,,,,
K01452,Average,368902,1,0.000408821,0.000408821,8.00E-06,8.00E-06,,,,,,,
K01452,Average,1087462,1,0.000749844,0.000749844,1.47E-05,1.47E-05,,,,,,,
K01452,Average,544324,1,0.000156544,0.000156544,3.06E-06,3.06E-06,,,,,,,
K01452,Average,326605,1,0.00080928,0.00080928,1.58E-05,1.58E-05,,,,,,,
K01452,Average,211089,1,0.000374922,0.000374922,7.34E-06,7.34E-06,,,,,,,
K01452,Average,188150,1,0.065062047,0.065062047,0.001273782,0.001273782,,,,,,,
K01452,Average,217239,1,0.073338631,0.073338631,0.001435821,0.001435821,,,,,,,
K01452,Average,1097359,1,0.038450361,0.038450361,0.00075278,0.00075278,,,,,,,
K01452,Average,936354,1,0.00035309,0.00035309,6.91E-06,6.91E-06,,,,,,,
K01452,Average,307381,1,0.000954162,0.000954162,1.87E-05,1.87E-05,,,,,,,
K01452,Average,809380,1,0.009541621,0.009541621,0.000186805,0.000186805,,,,,,,
K01452,Average,314432,1,0.000264427,0.000264427,5.18E-06,5.18E-06,,,,,,,
K01452,Average,580625,1,0.017397787,0.017397787,0.000340613,0.000340613,,,,,,,
K01452,Average,813352,2,0.000124974,0.000249948,4.89E-06,4.89E-06,,,,,,,
K01452,Average,821717,1,0.006966013,0.006966013,0.00013638,0.00013638,,,,,,,
K01452,Average,592272,1,0.000139554,0.000139554,2.73E-06,2.73E-06,,,,,,,
K01452,Average,939811,1,0.154507291,0.154507291,0.003024938,0.003024938,,,,,,,
K01452,Average,256215,1,0.00035309,0.00035309,6.91E-06,6.91E-06,,,,,,,
K01452,Average,719608,1,0.000696453,0.000696453,1.36E-05,1.36E-05,,,,,,,
K01452,Average,918840,1,0.000606961,0.000606961,1.19E-05,1.19E-05,,,,,,,
K01452,Average,512485,1,0.000277681,0.000277681,5.44E-06,5.44E-06,,,,,,,
K01452,Average,225487,1,0.000174595,0.000174595,3.42E-06,3.42E-06,,,,,,,
K01452,Average,352392,1,6.25E-05,6.25E-05,1.22E-06,1.22E-06,,,,,,,
K01452,Average,543740,1,0.000335661,0.000335661,6.57E-06,6.57E-06,,,,,,,
K01452,Average,806566,1,6.25E-05,6.25E-05,1.22E-06,1.22E-06,,,,,,,
K01452,Average,890516,1,6.33E-05,6.33E-05,1.24E-06,1.24E-06,,,,,,,
K01452,Average,1848083,1,0.054937157,0.054937157,0.001075557,0.001075557,,,,,,,
K01452,Average,568345,1,48.31072496,48.31072496,0.945825464,0.945825464,,,,,,,
K01452,Average,170549,1,0.000331027,0.000331027,6.48E-06,6.48E-06,,,,,,,
K01452,Average,537954,1,0.000225538,0.000225538,4.42E-06,4.42E-06,,,,,,,
K01452,Average,1011088,1,0.145161967,0.145161967,0.002841975,0.002841975,,,,,,,
K01452,Average,854272,1,0.009270949,0.009270949,0.000181506,0.000181506,,,,,,,
K01452,Average,804175,1,0.043152382,0.043152382,0.000844836,0.000844836,,,,,,,
