Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K03933,Average,4376154,1,0.00011316,0.00011316,7.08E-05,7.08E-05,,,,,,,
K03933,Average,585394,2,0.003276863,0.006553726,0.004101438,0.004101438,,,,,,,
K03933,Average,1052264,1,0.000440383,0.000440383,0.000275599,0.000275599,,,,,,,
K03933,Average,1065974,1,0.00016622,0.00016622,0.000104023,0.000104023,,,,,,,
K03933,Average,1090029,1,5.16E-05,5.16E-05,3.23E-05,3.23E-05,,,,,,,
K03933,Average,525816,1,0.000951704,0.000951704,0.000595593,0.000595593,,,,,,,
K03933,Average,922761,2,0.018999215,0.03799843,0.023780091,0.023780091,,,,,,,
K03933,Average,966091,1,0.00053545,0.00053545,0.000335094,0.000335094,,,,,,,
K03933,Average,574051,1,0.000979255,0.000979255,0.000612835,0.000612835,,,,,,,
K03933,Average,585063,1,0.001911146,0.001911146,0.001196029,0.001196029,,,,,,,
K03933,Average,573270,1,0.00083404,0.00083404,0.000521957,0.000521957,,,,,,,
K03933,Average,331093,1,0.009867108,0.009867108,0.006175011,0.006175011,,,,,,,
K01183,Average,279699,1,0.000685846,0.000685846,1.82E-05,1.82E-05,,,,,,,
K01183,Average,590450,1,0.000301759,0.000301759,8.02E-06,8.02E-06,,,,,,,
K01183,Average,612465,1,0.000309857,0.000309857,8.23E-06,8.23E-06,,,,,,,
K01183,Average,580222,1,0.000989133,0.000989133,2.63E-05,2.63E-05,,,,,,,
K01183,Average,959160,1,0.00022087,0.00022087,5.87E-06,5.87E-06,,,,,,,
K01183,Average,832257,2,0.000568071,0.001136142,3.02E-05,3.02E-05,,,,,,,
K01183,Average,106281,1,0.140724553,0.140724553,0.003739859,0.003739859,,,,,,,
K01183,Average,582691,2,0.000457032,0.000914064,2.43E-05,2.43E-05,,,,,,,
K01183,Average,554415,1,0.000163244,0.000163244,4.34E-06,4.34E-06,,,,,,,
K01183,Average,820370,1,0.003637148,0.003637148,9.67E-05,9.67E-05,,,,,,,
K01183,Average,4294883,1,0.00291914,0.00291914,7.76E-05,7.76E-05,,,,,,,
K01183,Average,1130804,1,0.001951639,0.001951639,5.19E-05,5.19E-05,,,,,,,
K01183,Average,4432518,1,0.000641761,0.000641761,1.71E-05,1.71E-05,,,,,,,
K01183,Average,212764,1,0.000104386,0.000104386,2.77E-06,2.77E-06,,,,,,,
K01183,Average,553643,1,0.000294494,0.000294494,7.83E-06,7.83E-06,,,,,,,
K01183,Average,817734,1,0.012214705,0.012214705,0.000324615,0.000324615,,,,,,,
K01183,Average,499899,1,0.000650274,0.000650274,1.73E-05,1.73E-05,,,,,,,
K01183,Average,836783,2,0.003128497,0.006256994,0.000166284,0.000166284,,,,,,,
K01183,Average,748070,1,9.60E-05,9.60E-05,2.55E-06,2.55E-06,,,,,,,
K01183,Average,1104592,1,0.000484581,0.000484581,1.29E-05,1.29E-05,,,,,,,
K01183,Average,622288,1,0.000203125,0.000203125,5.40E-06,5.40E-06,,,,,,,
K01183,Average,4338598,1,0.004216065,0.004216065,0.000112045,0.000112045,,,,,,,
K01183,Average,357342,1,0.000250926,0.000250926,6.67E-06,6.67E-06,,,,,,,
K01183,Average,823439,1,7.38E-05,7.38E-05,1.96E-06,1.96E-06,,,,,,,
K01183,Average,275246,3,9.582416716,28.74725015,0.763979357,0.763979357,,,,,,,
K01183,Average,913174,1,0.0062269,0.0062269,0.000165484,0.000165484,,,,,,,
K01183,Average,716006,1,0.001124278,0.001124278,2.99E-05,2.99E-05,,,,,,,
K01183,Average,434004,1,0.000973047,0.000973047,2.59E-05,2.59E-05,,,,,,,
K01183,Average,564941,1,0.000239276,0.000239276,6.36E-06,6.36E-06,,,,,,,
K01183,Average,73910,1,0.000239276,0.000239276,6.36E-06,6.36E-06,,,,,,,
K01183,Average,646549,1,0.009617197,0.009617197,0.000255584,0.000255584,,,,,,,
K01183,Average,4433019,3,0.000700296,0.002100888,5.58E-05,5.58E-05,,,,,,,
K01183,Average,581409,2,0.002565262,0.005130524,0.000136347,0.000136347,,,,,,,
K01183,Average,665869,1,0.000590524,0.000590524,1.57E-05,1.57E-05,,,,,,,
K01183,Average,46681,1,0.000562266,0.000562266,1.49E-05,1.49E-05,,,,,,,
K01183,Average,4447049,1,6.92E-05,6.92E-05,1.84E-06,1.84E-06,,,,,,,
K01183,Average,1038712,1,0.000344472,0.000344472,9.15E-06,9.15E-06,,,,,,,
K01183,Average,941487,2,0.001085985,0.00217197,5.77E-05,5.77E-05,,,,,,,
K01183,Average,3744574,1,0.00056925,0.00056925,1.51E-05,1.51E-05,,,,,,,
K01183,Average,746675,2,0.001234446,0.002468892,6.56E-05,6.56E-05,,,,,,,
K01183,Average,646129,1,5.52E-05,5.52E-05,1.47E-06,1.47E-06,,,,,,,
K01183,Average,12457,1,0.00041003,0.00041003,1.09E-05,1.09E-05,,,,,,,
K01183,Average,735569,1,4.80E-05,4.80E-05,1.28E-06,1.28E-06,,,,,,,
K01183,Average,813720,1,0.000484126,0.000484126,1.29E-05,1.29E-05,,,,,,,
K01183,Average,807821,1,0.000112794,0.000112794,3.00E-06,3.00E-06,,,,,,,
K01183,Average,217732,1,1.950026055,1.950026055,0.051823379,0.051823379,,,,,,,
K01183,Average,839235,1,0.007713785,0.007713785,0.000205,0.000205,,,,,,,
K01183,Average,1033018,2,0.006352671,0.012705342,0.000337654,0.000337654,,,,,,,
K01183,Average,854050,1,0.018999179,0.018999179,0.000504917,0.000504917,,,,,,,
K01183,Average,810759,1,0.000423335,0.000423335,1.13E-05,1.13E-05,,,,,,,
K01183,Average,222753,3,0.000161375,0.000484125,1.29E-05,1.29E-05,,,,,,,
K01183,Average,4295251,1,0.0003062,0.0003062,8.14E-06,8.14E-06,,,,,,,
K01183,Average,547764,1,0.001107325,0.001107325,2.94E-05,2.94E-05,,,,,,,
K01183,Average,2353709,2,0.000391663,0.000783326,2.08E-05,2.08E-05,,,,,,,
K01183,Average,771050,1,9.60E-05,9.60E-05,2.55E-06,2.55E-06,,,,,,,
K01183,Average,797229,1,0.523775841,0.523775841,0.013919729,0.013919729,,,,,,,
K01183,Average,1074016,2,0.003062644,0.006125288,0.000162784,0.000162784,,,,,,,
K01183,Average,760955,1,0.000981214,0.000981214,2.61E-05,2.61E-05,,,,,,,
K01183,Average,208171,3,0.485537262,1.456611786,0.038710532,0.038710532,,,,,,,
K01183,Average,1079671,1,0.000322751,0.000322751,8.58E-06,8.58E-06,,,,,,,
K01183,Average,352304,1,0.001166474,0.001166474,3.10E-05,3.10E-05,,,,,,,
K01183,Average,4481782,3,0.002156353,0.006469059,0.00017192,0.00017192,,,,,,,
K01183,Average,160321,1,0.003273224,0.003273224,8.70E-05,8.70E-05,,,,,,,
K01183,Average,223804,1,0.000257682,0.000257682,6.85E-06,6.85E-06,,,,,,,
K01183,Average,517156,1,0.002283822,0.002283822,6.07E-05,6.07E-05,,,,,,,
K01183,Average,875867,1,0.000106826,0.000106826,2.84E-06,2.84E-06,,,,,,,
K01183,Average,940662,1,0.000147247,0.000147247,3.91E-06,3.91E-06,,,,,,,
K01183,Average,812105,1,0.000189453,0.000189453,5.03E-06,5.03E-06,,,,,,,
K01183,Average,1040889,1,0.000152344,0.000152344,4.05E-06,4.05E-06,,,,,,,
K01183,Average,1106362,1,0.00033244,0.00033244,8.83E-06,8.83E-06,,,,,,,
K01183,Average,103802,1,0.000169111,0.000169111,4.49E-06,4.49E-06,,,,,,,
K01183,Average,211089,1,0.000165663,0.000165663,4.40E-06,4.40E-06,,,,,,,
K01183,Average,643362,2,0.001011804,0.002023608,5.38E-05,5.38E-05,,,,,,,
K01183,Average,209573,1,0.000404929,0.000404929,1.08E-05,1.08E-05,,,,,,,
K01183,Average,545460,1,0.002252692,0.002252692,5.99E-05,5.99E-05,,,,,,,
K01183,Average,809993,1,0.000242063,0.000242063,6.43E-06,6.43E-06,,,,,,,
K01183,Average,773575,1,0.005640651,0.005640651,0.000149904,0.000149904,,,,,,,
K01183,Average,1072562,1,0.001613754,0.001613754,4.29E-05,4.29E-05,,,,,,,
K01183,Average,107450,1,0.000452639,0.000452639,1.20E-05,1.20E-05,,,,,,,
K01183,Average,828667,1,0.000468943,0.000468943,1.25E-05,1.25E-05,,,,,,,
K01183,Average,426919,1,0.000344472,0.000344472,9.15E-06,9.15E-06,,,,,,,
K01183,Average,892370,1,0.00342029,0.00342029,9.09E-05,9.09E-05,,,,,,,
K01183,Average,1141681,1,0.001101888,0.001101888,2.93E-05,2.93E-05,,,,,,,
K01183,Average,77498,1,0.001610326,0.001610326,4.28E-05,4.28E-05,,,,,,,
K01183,Average,4452842,1,0.000644472,0.000644472,1.71E-05,1.71E-05,,,,,,,
K01183,Average,131516,1,0.000756447,0.000756447,2.01E-05,2.01E-05,,,,,,,
K01183,Average,359098,1,0.001697815,0.001697815,4.51E-05,4.51E-05,,,,,,,
K01183,Average,1106130,4,0.000363095,0.00145238,3.86E-05,3.86E-05,,,,,,,
K01183,Average,877752,1,0.000333388,0.000333388,8.86E-06,8.86E-06,,,,,,,
K01183,Average,219818,1,0.000973047,0.000973047,2.59E-05,2.59E-05,,,,,,,
K01183,Average,589277,1,0.004668426,0.004668426,0.000124067,0.000124067,,,,,,,
K01183,Average,387744,1,4.80E-05,4.80E-05,1.28E-06,1.28E-06,,,,,,,
K01183,Average,4308297,1,0.000202465,0.000202465,5.38E-06,5.38E-06,,,,,,,
K01183,Average,525371,1,0.000349711,0.000349711,9.29E-06,9.29E-06,,,,,,,
K01183,Average,574742,1,0.000697125,0.000697125,1.85E-05,1.85E-05,,,,,,,
K01183,Average,1143179,1,0.000258214,0.000258214,6.86E-06,6.86E-06,,,,,,,
K01183,Average,4198891,1,0.058334704,0.058334704,0.001550288,0.001550288,,,,,,,
K01183,Average,364538,1,0.000276088,0.000276088,7.34E-06,7.34E-06,,,,,,,
K01183,Average,624227,1,0.017022699,0.017022699,0.000452391,0.000452391,,,,,,,
K01183,Average,699855,1,0.000403439,0.000403439,1.07E-05,1.07E-05,,,,,,,
K01183,Average,1111517,1,0.00043614,0.00043614,1.16E-05,1.16E-05,,,,,,,
K01183,Average,3859,1,0.001983169,0.001983169,5.27E-05,5.27E-05,,,,,,,
K01183,Average,974121,2,0.004392247,0.008784494,0.000233454,0.000233454,,,,,,,
K01183,Average,854368,1,0.00128878,0.00128878,3.43E-05,3.43E-05,,,,,,,
K01183,Average,152417,2,0.000181403,0.000362806,9.64E-06,9.64E-06,,,,,,,
K01183,Average,610107,1,0.003719153,0.003719153,9.88E-05,9.88E-05,,,,,,,
K01183,Average,164660,2,0.000318602,0.000637204,1.69E-05,1.69E-05,,,,,,,
K01183,Average,79309,2,0.002229933,0.004459866,0.000118524,0.000118524,,,,,,,
K01183,Average,79436,1,0.002501055,0.002501055,6.65E-05,6.65E-05,,,,,,,
K01183,Average,1080980,1,0.000486548,0.000486548,1.29E-05,1.29E-05,,,,,,,
K01183,Average,4424725,1,0.016328766,0.016328766,0.000433949,0.000433949,,,,,,,
K01183,Average,819699,1,0.000139007,0.000139007,3.69E-06,3.69E-06,,,,,,,
K01183,Average,975335,1,0.00029109,0.00029109,7.74E-06,7.74E-06,,,,,,,
K01183,Average,571698,1,0.00046367,0.00046367,1.23E-05,1.23E-05,,,,,,,
K01183,Average,556915,1,0.000138053,0.000138053,3.67E-06,3.67E-06,,,,,,,
K01183,Average,220524,1,0.000467214,0.000467214,1.24E-05,1.24E-05,,,,,,,
K01183,Average,939811,3,0.785430874,2.356292622,0.062620213,0.062620213,,,,,,,
K01183,Average,4395040,1,0.000361325,0.000361325,9.60E-06,9.60E-06,,,,,,,
K01183,Average,410196,3,0.002351198,0.007053594,0.000187454,0.000187454,,,,,,,
K01183,Average,290401,1,0.000460147,0.000460147,1.22E-05,1.22E-05,,,,,,,
K01183,Average,511866,1,0.000704196,0.000704196,1.87E-05,1.87E-05,,,,,,,
K01183,Average,585394,3,0.003276863,0.009830589,0.000261255,0.000261255,,,,,,,
K01183,Average,687206,1,7.02E-05,7.02E-05,1.86E-06,1.86E-06,,,,,,,
K01183,Average,918840,1,0.000268192,0.000268192,7.13E-06,7.13E-06,,,,,,,
K01183,Average,304089,1,0.000650274,0.000650274,1.73E-05,1.73E-05,,,,,,,
K01183,Average,589071,2,0.002246896,0.004493792,0.000119426,0.000119426,,,,,,,
K01183,Average,545538,1,0.000305998,0.000305998,8.13E-06,8.13E-06,,,,,,,
K01183,Average,933150,1,0.001390067,0.001390067,3.69E-05,3.69E-05,,,,,,,
K01183,Average,962736,1,0.000250106,0.000250106,6.65E-06,6.65E-06,,,,,,,
K01183,Average,2224797,1,0.000207763,0.000207763,5.52E-06,5.52E-06,,,,,,,
K01183,Average,1101451,1,0.004654195,0.004654195,0.000123689,0.000123689,,,,,,,
K01183,Average,210236,1,3.86E-05,3.86E-05,1.03E-06,1.03E-06,,,,,,,
K01183,Average,940348,1,0.000832024,0.000832024,2.21E-05,2.21E-05,,,,,,,
K01183,Average,892000,1,2.80E-05,2.80E-05,7.43E-07,7.43E-07,,,,,,,
K01183,Average,1012112,1,0.000138053,0.000138053,3.67E-06,3.67E-06,,,,,,,
K01183,Average,4416230,1,0.004126011,0.004126011,0.000109652,0.000109652,,,,,,,
K01183,Average,2297613,1,1.84E-05,1.84E-05,4.89E-07,4.89E-07,,,,,,,
K01183,Average,1052264,1,0.000440383,0.000440383,1.17E-05,1.17E-05,,,,,,,
K01183,Average,1051517,1,0.013888455,0.013888455,0.000369096,0.000369096,,,,,,,
K01183,Average,217746,1,5.16E-05,5.16E-05,1.37E-06,1.37E-06,,,,,,,
K01183,Average,1108523,1,7.38E-05,7.38E-05,1.96E-06,1.96E-06,,,,,,,
K01183,Average,991740,1,0.00016622,0.00016622,4.42E-06,4.42E-06,,,,,,,
K01183,Average,336559,1,0.00163213,0.00163213,4.34E-05,4.34E-05,,,,,,,
K01183,Average,328043,3,0.002363607,0.007090821,0.000188444,0.000188444,,,,,,,
K01183,Average,1117491,1,0.000167453,0.000167453,4.45E-06,4.45E-06,,,,,,,
K01183,Average,563192,1,0.0003615,0.0003615,9.61E-06,9.61E-06,,,,,,,
K01183,Average,1052435,1,3.86E-05,3.86E-05,1.03E-06,1.03E-06,,,,,,,
K01183,Average,138551,1,0.001560917,0.001560917,4.15E-05,4.15E-05,,,,,,,
K01183,Average,1025153,1,0.00026927,0.00026927,7.16E-06,7.16E-06,,,,,,,
K01183,Average,781203,1,0.000276105,0.000276105,7.34E-06,7.34E-06,,,,,,,
K01183,Average,543740,2,0.000406255,0.00081251,2.16E-05,2.16E-05,,,,,,,
K01183,Average,887484,1,0.001626515,0.001626515,4.32E-05,4.32E-05,,,,,,,
K01183,Average,287021,2,0.000320756,0.000641512,1.70E-05,1.70E-05,,,,,,,
K01183,Average,1081489,1,0.000110442,0.000110442,2.94E-06,2.94E-06,,,,,,,
K01183,Average,590482,1,0.307845314,0.307845314,0.008181216,0.008181216,,,,,,,
K01183,Average,2188240,1,0.000826286,0.000826286,2.20E-05,2.20E-05,,,,,,,
K01183,Average,741010,3,0.002759973,0.008279919,0.000220045,0.000220045,,,,,,,
K01183,Average,745482,1,0.000188599,0.000188599,5.01E-06,5.01E-06,,,,,,,
K01183,Average,1129515,1,0.000264039,0.000264039,7.02E-06,7.02E-06,,,,,,,
K01183,Average,561830,1,0.000152344,0.000152344,4.05E-06,4.05E-06,,,,,,,
K01183,Average,890516,2,2.80E-05,5.60E-05,1.49E-06,1.49E-06,,,,,,,
K01183,Average,592139,1,0.003162242,0.003162242,8.40E-05,8.40E-05,,,,,,,
K01183,Average,155455,1,0.000309857,0.000309857,8.23E-06,8.23E-06,,,,,,,
K01183,Average,2252883,1,0.054813175,0.054813175,0.001456701,0.001456701,,,,,,,
K01183,Average,814909,1,0.00332995,0.00332995,8.85E-05,8.85E-05,,,,,,,
K01183,Average,966231,1,7.80E-05,7.80E-05,2.07E-06,2.07E-06,,,,,,,
K01183,Average,318396,1,0.000826286,0.000826286,2.20E-05,2.20E-05,,,,,,,
K01183,Average,577170,1,0.000730995,0.000730995,1.94E-05,1.94E-05,,,,,,,
K01183,Average,525816,1,0.000951704,0.000951704,2.53E-05,2.53E-05,,,,,,,
K01183,Average,922761,1,0.018999215,0.018999215,0.000504918,0.000504918,,,,,,,
K01183,Average,592129,1,0.000212213,0.000212213,5.64E-06,5.64E-06,,,,,,,
K01183,Average,765455,1,0.001645293,0.001645293,4.37E-05,4.37E-05,,,,,,,
K01183,Average,512148,1,0.000527706,0.000527706,1.40E-05,1.40E-05,,,,,,,
K01183,Average,966091,2,0.00053545,0.0010709,2.85E-05,2.85E-05,,,,,,,
K01183,Average,917443,1,3.77E-05,3.77E-05,1.00E-06,1.00E-06,,,,,,,
K01183,Average,851567,1,0.000647704,0.000647704,1.72E-05,1.72E-05,,,,,,,
K01183,Average,4348932,1,0.000442893,0.000442893,1.18E-05,1.18E-05,,,,,,,
K01183,Average,1010927,3,0.54575112,1.63725336,0.043511215,0.043511215,,,,,,,
K01183,Average,574051,1,0.000979255,0.000979255,2.60E-05,2.60E-05,,,,,,,
K01183,Average,585063,1,0.001911146,0.001911146,5.08E-05,5.08E-05,,,,,,,
K01183,Average,202454,1,0.001210316,0.001210316,3.22E-05,3.22E-05,,,,,,,
K01183,Average,831409,1,0.00075535,0.00075535,2.01E-05,2.01E-05,,,,,,,
K01183,Average,310558,1,0.000836496,0.000836496,2.22E-05,2.22E-05,,,,,,,
K01183,Average,1074625,1,0.004103098,0.004103098,0.000109043,0.000109043,,,,,,,
K01183,Average,579633,1,0.000147631,0.000147631,3.92E-06,3.92E-06,,,,,,,
K01183,Average,514272,1,0.000370633,0.000370633,9.85E-06,9.85E-06,,,,,,,
K01183,Average,316869,3,0.006548173,0.019644519,0.000522068,0.000522068,,,,,,,
K01183,Average,906197,1,0.000371099,0.000371099,9.86E-06,9.86E-06,,,,,,,
K01183,Average,814721,1,0.00016622,0.00016622,4.42E-06,4.42E-06,,,,,,,
K01183,Average,331093,1,0.009867108,0.009867108,0.000262226,0.000262226,,,,,,,
K01183,Average,139292,1,0.012764969,0.012764969,0.000339238,0.000339238,,,,,,,
K01183,Average,325947,2,0.001726216,0.003452432,9.18E-05,9.18E-05,,,,,,,
K01183,Average,365496,1,0.002108032,0.002108032,5.60E-05,5.60E-05,,,,,,,
K03791,Average,554415,1,0.000163244,0.000163244,0.001600951,0.001600951,,,,,,,
K03791,Average,830893,2,0.000632924,0.001265848,0.012414301,0.012414301,,,,,,,
K03791,Average,1124040,1,0.004175094,0.004175094,0.040945571,0.040945571,,,,,,,
K03791,Average,4327501,1,0.00041821,0.00041821,0.004101428,0.004101428,,,,,,,
K03791,Average,817734,2,0.012214705,0.02442941,0.239581719,0.239581719,,,,,,,
K03791,Average,219331,2,0.000212401,0.000424802,0.004166077,0.004166077,,,,,,,
K03791,Average,818369,1,0.00396038,0.00396038,0.038839851,0.038839851,,,,,,,
K03791,Average,646549,1,0.009617197,0.009617197,0.094316833,0.094316833,,,,,,,
K03791,Average,581409,1,0.002565262,0.002565262,0.025157786,0.025157786,,,,,,,
K03791,Average,813980,2,0.002023695,0.00404739,0.039693167,0.039693167,,,,,,,
K03791,Average,569456,1,0.00013988,0.00013988,0.001371817,0.001371817,,,,,,,
K03791,Average,941487,1,0.001085985,0.001085985,0.010650366,0.010650366,,,,,,,
K03791,Average,1033018,1,0.006352671,0.006352671,0.062301293,0.062301293,,,,,,,
K03791,Average,359570,1,0.000187703,0.000187703,0.001840822,0.001840822,,,,,,,
K03791,Average,560243,1,0.000242063,0.000242063,0.002373937,0.002373937,,,,,,,
K03791,Average,2353709,1,0.000391663,0.000391663,0.003841079,0.003841079,,,,,,,
K03791,Average,1034564,1,0.00035759,0.00035759,0.003506922,0.003506922,,,,,,,
K03791,Average,1074016,1,0.003062644,0.003062644,0.030035663,0.030035663,,,,,,,
K03791,Average,658233,1,0.000358937,0.000358937,0.003520132,0.003520132,,,,,,,
K03791,Average,579033,1,8.07E-05,8.07E-05,0.000791148,0.000791148,,,,,,,
K03791,Average,236204,1,7.71E-05,7.71E-05,0.000756585,0.000756585,,,,,,,
K03791,Average,877752,1,0.000333388,0.000333388,0.00326957,0.00326957,,,,,,,
K03791,Average,974121,1,0.004392247,0.004392247,0.043075215,0.043075215,,,,,,,
K03791,Average,1124689,1,0.000112794,0.000112794,0.001106182,0.001106182,,,,,,,
K03791,Average,164660,1,0.000318602,0.000318602,0.003124562,0.003124562,,,,,,,
K03791,Average,2111163,1,0.003619436,0.003619436,0.035496179,0.035496179,,,,,,,
K03791,Average,964989,1,0.00053377,0.00053377,0.005234737,0.005234737,,,,,,,
K03791,Average,562576,1,0.000442909,0.000442909,0.004343654,0.004343654,,,,,,,
K03791,Average,1039092,1,0.000585881,0.000585881,0.005745795,0.005745795,,,,,,,
K03791,Average,862949,2,0.000242063,0.000484126,0.004747873,0.004747873,,,,,,,
K03791,Average,571263,2,0.000752528,0.001505056,0.014760238,0.014760238,,,,,,,
K03791,Average,541859,1,0.001365567,0.001365567,0.013392255,0.013392255,,,,,,,
K03791,Average,780788,1,8.60E-05,8.60E-05,0.000843213,0.000843213,,,,,,,
K03791,Average,1129515,1,0.000264039,0.000264039,0.002589457,0.002589457,,,,,,,
K03791,Average,163716,1,0.00017196,0.00017196,0.001686429,0.001686429,,,,,,,
K03791,Average,922761,1,0.018999215,0.018999215,0.186327241,0.186327241,,,,,,,
K03791,Average,794948,1,0.00015088,0.00015088,0.001479696,0.001479696,,,,,,,
K03791,Average,573270,1,0.00083404,0.00083404,0.008179515,0.008179515,,,,,,,
K03791,Average,408706,1,0.00104894,0.00104894,0.010287062,0.010287062,,,,,,,
K03791,Average,1088647,1,0.001588084,0.001588084,0.015574502,0.015574502,,,,,,,
K03791,Average,325947,1,0.001726216,0.001726216,0.016929177,0.016929177,,,,,,,
K01452,Average,593437,1,0.300206365,0.300206365,0.007628383,0.007628383,,,,,,,
K01452,Average,773900,1,0.299970864,0.299970864,0.007622399,0.007622399,,,,,,,
K01452,Average,579705,1,0.069697231,0.069697231,0.001771039,0.001771039,,,,,,,
K01452,Average,812921,1,0.027961816,0.027961816,0.000710523,0.000710523,,,,,,,
K01452,Average,517116,1,0.000167453,0.000167453,4.26E-06,4.26E-06,,,,,,,
K01452,Average,160406,1,0.001077196,0.001077196,2.74E-05,2.74E-05,,,,,,,
K01452,Average,1108289,1,0.000716203,0.000716203,1.82E-05,1.82E-05,,,,,,,
K01452,Average,228207,1,0.00044265,0.00044265,1.12E-05,1.12E-05,,,,,,,
K01452,Average,91845,1,0.00358793,0.00358793,9.12E-05,9.12E-05,,,,,,,
K01452,Average,4327501,1,0.00041821,0.00041821,1.06E-05,1.06E-05,,,,,,,
K01452,Average,722628,1,0.715259006,0.715259006,0.018175063,0.018175063,,,,,,,
K01452,Average,622288,1,0.000203125,0.000203125,5.16E-06,5.16E-06,,,,,,,
K01452,Average,818369,1,0.00396038,0.00396038,0.000100635,0.000100635,,,,,,,
K01452,Average,822584,1,0.000520461,0.000520461,1.32E-05,1.32E-05,,,,,,,
K01452,Average,588165,1,0.000264774,0.000264774,6.73E-06,6.73E-06,,,,,,,
K01452,Average,555568,1,0.000100527,0.000100527,2.55E-06,2.55E-06,,,,,,,
K01452,Average,705967,1,0.194450578,0.194450578,0.004941079,0.004941079,,,,,,,
K01452,Average,368902,1,0.000180642,0.000180642,4.59E-06,4.59E-06,,,,,,,
K01452,Average,1087462,1,0.002085661,0.002085661,5.30E-05,5.30E-05,,,,,,,
K01452,Average,544324,1,0.001599216,0.001599216,4.06E-05,4.06E-05,,,,,,,
K01452,Average,326605,1,0.015669871,0.015669871,0.000398179,0.000398179,,,,,,,
K01452,Average,770205,1,9.60E-05,9.60E-05,2.44E-06,2.44E-06,,,,,,,
K01452,Average,211089,1,0.000165663,0.000165663,4.21E-06,4.21E-06,,,,,,,
K01452,Average,188150,1,0.051876908,0.051876908,0.001318216,0.001318216,,,,,,,
K01452,Average,217239,1,0.174569805,0.174569805,0.0044359,0.0044359,,,,,,,
K01452,Average,1097359,1,0.032834463,0.032834463,0.000834339,0.000834339,,,,,,,
K01452,Average,936354,1,0.011136665,0.011136665,0.000282988,0.000282988,,,,,,,
K01452,Average,307381,1,0.000421606,0.000421606,1.07E-05,1.07E-05,,,,,,,
K01452,Average,809380,1,0.004216065,0.004216065,0.000107132,0.000107132,,,,,,,
K01452,Average,941024,1,0.000282407,0.000282407,7.18E-06,7.18E-06,,,,,,,
K01452,Average,314432,1,0.000324333,0.000324333,8.24E-06,8.24E-06,,,,,,,
K01452,Average,769643,1,0.000945006,0.000945006,2.40E-05,2.40E-05,,,,,,,
K01452,Average,238484,1,0.001662183,0.001662183,4.22E-05,4.22E-05,,,,,,,
K01452,Average,580625,1,0.014160103,0.014160103,0.000359815,0.000359815,,,,,,,
K01452,Average,813352,2,5.52E-05,0.000110442,2.81E-06,2.81E-06,,,,,,,
K01452,Average,821717,1,0.007960159,0.007960159,0.000202271,0.000202271,,,,,,,
K01452,Average,208315,1,0.00044843,0.00044843,1.14E-05,1.14E-05,,,,,,,
K01452,Average,592272,1,6.17E-05,6.17E-05,1.57E-06,1.57E-06,,,,,,,
K01452,Average,939811,1,0.785430874,0.785430874,0.019958162,0.019958162,,,,,,,
