Group,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Control,Control,Control
ASV000015,0.02749653,0.709236625,2.072141213,0.103807757,0.194995958,0,0.194359756,10.60463812,2.815945717,2.017032189,0.402955043,0,1.185058828,0.590492178,0.03479794,0.050732807,0,0.159263847,0,0.027754167,0,0.003396797,0.010659682,0,1.867321867,1.319577735,2.396732429,0.161155545,0.282738095,6.603331526,6.273687136,3.306346183
ASV000016,0,0,0,0,0,0,0,0,0,1.825624717,0.040499494,0.846558224,0.174681463,0.984045064,0.053384741,0,0,0,0,0,0,0,0,0,0,4.318618042,7.937731196,9.633520353,3.645833333,0,1.076194576,0
ASV000017,0,0,0,0,0,0,0,0,0,0.516157539,0.116436045,6.143273006,0.22292093,0.090823244,0.01323967,0,0,0,0,0,0,0,0,0,0,8.88515675,2.805178792,2.709800645,9.553571429,0.901639344,5.703831253,0.309597523
ASV000018,0.507707057,11.92463179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047588504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000019,0,0,0,0,0,0,0,0,0.330788804,0.376348702,2.435365377,0.303931668,0.027743527,0,0.004742759,0,0,0,0,0,0,0,0,0,0,0,0.670468557,0,0,0,0,3.96127611
ASV000020,0,0,0,0,0,0,0,0,0.534351145,0,0.607795328,0,0,0.095695602,0,0.383314543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092336103
ASV000021,0.083698135,0.153667935,0,0,0.055361602,0,0.377286585,3.715854104,0.474978796,0.429997786,0.283664275,0.983954727,0.096588574,0.55548895,0.076309308,0,0.0537957,0,0,0,0,0.210601403,0,0,0,0,0,0.567028769,1.532738095,10.99744157,1.433447755,3.27476894
ASV000022,0,0,0,0,0,0,0,0,0,0,0.40230452,0,0,0.005994485,0.015323398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467451524
ASV000023,0.079045885,0.205678621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134489251,7.131481154,0.339378238,1.438012802,1.677832217,1.283989198,0.303039532,0.836292712,0,0,0,0,0,0,0,0
ASV000024,0,0,0,0,0,0,0,0,0,0,0,0.10066149,0.243149546,0.01198897,0.049211419,0,0,0,0,0,0,0,0,0,0,0.327895074,0,0,3.199404762,1.145038168,2.712010331,0
ASV000025,0,0,0,0,0.17878359,0,0,8.857061482,0.610687023,0.601013136,0.011124089,0.47860807,0.561762569,0.079926468,0,0,0,0,0,0.105812763,0,0,0.015228117,0,0.58968059,0,0,0,1.428571429,1.314673452,0.064571675,1.727121688
ASV000026,0.000632367,0,0,0.002208676,0.011264625,0,0,0.01185677,0,0.001430984,0,0.002644243,0,0,0,0,0,0.035391966,0,0,0,0.164744646,0.001522812,0,0,0,0,0,0,0.084817642,0,0
ASV000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000028,0.039106987,0.073287785,1.381427475,0.225284919,0.338548815,0,0.612218652,0,0,0.75056999,0.491171094,0.834486617,0.194519696,0.369659913,0.064081396,0,0,0,0.006908463,0.036427345,0.0159984,0.011888789,0,0,0,1.039667306,0.238902589,0,1.666666667,2.02672451,3.124282795,16.46093774
ASV000029,0,0,0,0,0,0,0,0,0,0.309041946,0,0.002644243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575815739,0,0,0,0,0.645716746,0.745991839
ASV000030,0,0,0,0,0,0,0,0,0,0,0,0,0.066789971,0,0.000773288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753336203,0
ASV000031,0,0,0,0.262832406,0,0,0,0,29.59287532,0.296213617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608809836,0,0,0.432276657,0
ASV000032,0.086641562,8.004917374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000033,0.004649059,0.080380151,0,0.519038784,0.009868398,0,0,1.972796965,0.42408821,0.524869407,0.008937002,1.142313184,0.292667899,0.020450267,0,0.129650507,0,0.017695983,0.202936097,0.199483079,0,0,0.015228117,0,0.687960688,0,3.020961776,0,0.818452381,1.060220526,1.008645533,2.862601461
ASV000034,0,0.132390837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690143337,0.879965458,0.605387778,0.767923208,1.316258768,0.121824938,0.261283972,0,0,0,0,0,0,0,0
ASV000035,0.17591427,0,0.038372985,0,0,0,0.018742971,0.188634929,0,0,0,0,0,0,0,0,2.888415303,0.371615643,0,0,0.0019998,0,0,0,0,0,0,0,0,0,0,0.05109862
ASV000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000037,0,0.035461831,1.151189563,0,0.014687772,0,0,1.351671805,0,0,0,0,0.055487053,1.287456786,0.058806061,1.037204059,0,0,0,0,0,0,0,0,0,0,1.448828607,1.462337352,0.744047619,0,0.796383986,0.224735392
ASV000038,0,0,0,0,0,0,0,0,0,0.774220042,0.931165554,0.076683061,0.062676654,0.485024434,0.036808774,0,0,0,0,0,0,0,0,0,0,1.959373001,0.940197287,2.148740599,0,0,1.183814034,0.017313019
ASV000039,0,0,0,0,0,0,0,0,0.008481764,0.698921492,0.447541857,0.038347234,0.024219974,0.309634282,0.012788092,0,0,0,0,0,0,0,0,0,0,0,0,1.372806494,0.803571429,0,0,0.034626039
ASV000040,0,0,0,0,0,0,0,0,0,0.107875924,0.271104247,2.629685187,0.341135792,0.107384168,0.024754502,0,0,0,0,0,0,0,0,0,0,0.823736404,0,0.907246031,0,1.102629347,0.27981059,0.021748586
ASV000041,0.005691304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000042,0,4.42563654,0,0.485908649,0.146399488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000043,0,0,1.650038373,0,0,0.235663786,0,0.080738686,0,0.064268643,0.234482792,0,0.009972931,3.057187388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069252078
ASV000044,0.006956038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084817642,0,0
ASV000045,0,0,0,0,0,0,0,0,0,0.119443218,0.178054695,0.6985238,0.555092944,0.713969911,0.006762697,0,0,0,0,0,0,0,0,0,0,0,0.940197287,1.134057538,0.238095238,0.042408821,0.495049505,0.017313019
ASV000046,0.161431239,2.82512589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498644762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000047,0,0,0,0,0,0,0,0,0,0.698081236,0.460922767,0.806494262,0.047706369,0.115483859,0.008892807,0,0,0,0,0,0,0,0,0,0,0,0,0.262623851,1.235119048,0,0.301334481,0
ASV000048,0,0.016548855,4.489639294,0.002208676,0,0,0,0,0,0.253057782,0,0,0,0,0.032864721,0,0,0,0,0,0.019998,0,0,0,0,0,0.477805179,0,1.056547619,0,0,3.95381166
ASV000049,0,0,0,0,0,0,0,0,0,0.196822719,0.414403766,0.533433116,0.106803201,0.041899654,0,0,0,0,0,0,0,0,0,0,0,1.439539347,0,1.086307747,0,0,0.322858373,0
ASV000050,0,0,0,0,0,0,0,0,0,0.283782973,0.290021744,0,0.27378092,0.117412578,0.03295492,0,0,0,0,0,0,0,0,0,0,1.439539347,0,0.769965381,0.119047619,0,0.817907878,0.014499058
ASV000051,0.176125292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281848929,1.833191947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000052,0,0,0,0,0,0,0,0,0,0,1.006380546,0.630099722,0,0.015985294,0,0,0,0,0,0,0,0,0,0,0,0.447856686,0,0,0,0.212044105,0,0
ASV000053,0,0,0,0,0,0,0,0,0,0.43381334,0,0.936062193,0.285488489,0.026672411,0.036412831,0,0,0,0,0,0,0,0,0,0,0,0,0.471529187,0.37202381,0,0.344382264,0.007249529
ASV000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000055,0,0,0,0,0,0,0,0,0,0,0.469981271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68852459,0,0.429645542
ASV000056,0,0,0,0,0,0,0,0,0,0,0,0,0.256726227,1.192552142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.032786885,0,0.017313019
ASV000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000058,0.080711655,0.11347786,0,0,0.035024687,0,0,0,0,0.208923614,0,0.020132298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.377521614,1.771204327
ASV000059,0,0,0,0,0,0,0,0,0,0.02352333,0.093114978,0.075735788,0.072247241,0.036399076,0.027838352,0,0,0,0,0,0,0,0,0,0,0.351887396,0.115598027,0.835621344,0.297619048,0.042408821,0,0
ASV000060,0,0,0,0,0,0,0,0.237135404,0,0,0.600727941,0.297191065,0.028494087,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949753391,0,0,0.848176421,0,0
ASV000061,0,0,0,0,0,0,0,0,0,0,0.521546334,0,0,0.001998162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173092993,0.327380952,0,0,0
ASV000062,0,0,0,0.421857055,0,0,0,0,0,0,0,0.506756757,0,0.319705871,0,0,0,0.017695983,0,0,0,0,0,0,0,0,0,0,0,0,0,1.090160885
ASV000063,0,0,0,0,0,0,0,0,0,0,0,0.396636522,0.000474901,0,0.015817701,0,0,0,0,0,0,0,0,0,0,2.287268074,0,0,0,0,0.408953939,0
ASV000064,0,0,0,0,0,0,0,0,0,0.282305046,0.057936776,0.304088,0.019306999,0.134387919,0.046397253,0,0,0,0,0,0,0,0,0,0,0,0,0.196967888,0.044642857,0,1.011622901,0
ASV000065,0,0,0,0,0,0.377062058,0,0,0,0.639386189,0.125998425,0,0.261860752,0,0,0,0,0,0,0,0,0,0,0.089241356,0,2.103326935,0,0,0,0,0,0.014499058
ASV000066,0,0,0,0,0,0,0,0,0,0.961621018,0.20579565,0,0,0.003996323,0,0,0.039312243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000067,0,0,0,0,0.128099552,0,0,0.770690064,0,0,0.070874114,0,0.256726227,0.163000656,0,0,0,0,0,0,0,0,0,0,0,0,1.872688039,0,0,0,0,0.007249529
ASV000068,0.01164558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.570420641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050125313
ASV000069,0,0,0,0,0,0,0,0,0,0.218915065,0.507211633,0,0.041101521,0.007992647,0.005437335,0,0,0,0,0,0,0,0,0,0,0,0,0.925152202,0.431547619,0,0,0
ASV000070,0,0,0,0,0,0,0,0.083674638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000071,0.342792293,0.042554197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191657272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000072,0,0,0,0,0,0,0,0,0,0.167425088,0,0.6514225,0.374842451,0,0.037504446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254452926,0,0.007249529
ASV000073,0,0.042554197,0,0,0,0,0,0,0.016963528,0,0.077868625,0,0.031841016,0.183830876,0,0.186020293,0,0,0,0,0.0219978,0,0.021319364,0,11.5970516,0,0,0,0,0.901639344,1.296829971,1.052087864
ASV000074,0,0,0,0,0,0,0,1.268674413,0,0.248333002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.398581998,0,0,0,0,0.152240104
ASV000075,0,0,0,0,0,0,0,0,0,0,0.386995163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000076,0.005916985,0,0.191864927,0.09718173,0.13724952,0,0.089549752,0.053581128,0.033927057,0,0,0,0,0,0,0.005636979,0.142765513,1.256414794,0.069084629,0.060712241,0,0.015285586,0,0.124201888,0,0,0,0.035812343,0,0,0,0
ASV000077,0.000422642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000078,0,0,0,0,0,0,0,0,0,0.309292844,0.000562493,0.115256856,0.028771065,0.049241375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000079,0,0,0,0,0,0,0,0,0,0,0,0.885821566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000080,0,0,0,0,0,0,0,0,0,0,1.183787413,0.337837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.593659942,0
ASV000081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084206981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000082,0,0,0,0,0,0,0,0,0,0.583414115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.879398592,0,0,0,0,0,0
ASV000083,0,0,0.076745971,0,0,0,0.0874672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.069050555,0,0,0,0,0
ASV000084,0,0,0,0,0,0,0,0,0,0.305492775,0,0,0,0.016841396,0.006425941,0,0,0,0,0,0,0,0,0,0,0,0.55487053,0,0,0,0.215238915,0
ASV000085,0,0,0.959324635,0,0,0,0,0,0,0.166696793,0.064124198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96693327,0.818452381,0,0,0
ASV000086,0.007539371,0,1.074443592,0,0.070606069,0,0,0,0,0,0,0.253847374,0,0,0,0,0,0.389311626,0.008635579,0,0.143985601,0,0,0,0,0,0,0,0,0.339270568,0,0
ASV000087,0.013101895,0,0,0,0,0,0,0,0,0,0.005562045,0,0,0.377517209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000088,0.084242708,0.288422894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450958286,0.268978502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000089,0.006208894,0,0,0,0.018299936,0,0,0,0,0,0,0,0.023270171,0,0,0,0,0,0,0,0,0.023777578,0,0,0,0.591810621,0,0,0,0,0,1.870378425
ASV000090,0.030985987,0.146575569,0,0,0,0,0,0,0,0,0.066873778,0.131339277,0.272129801,0,0.020582121,0,0,0,0,0,0,0,0,0,1.179361179,0,0,0,0,0,0,0.043497173
ASV000091,0,0,0,0,0,0,0,0,0,0.799417378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000092,0,0,0,0,0,0,0,0,0,0.236990621,0,0,0,0,0,0,0,0,0.064766839,0,0,0,0,0,0,1.183621241,0,0,0,0,0,0
ASV000093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.652897657,0,0,0,0,0
ASV000094,0,0,0,0,0,0,0,0,0,0.160671607,0,0,0,0.041981695,0,0,0,0,0,0,0,0,0,0,0,0.951695457,0,0,0,0,0.021523892,0
ASV000095,0,0,0,0,0.022596572,0,0,0,0,0,0,0,0,0,0,0,0,0.371615643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042408821,0,0.619195046
ASV000097,0.112361188,0.106385494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304396843,0,0,0,0.003469271,0.105989401,0.049253554,0.030456234,0.063480965,0,0,0,0,0,0,0,0
ASV000098,0,0,0,0,0,0,0,0,0,0,0.0719991,0,0,0,0.008403154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516573396,0
ASV000099,0,0,0,0,0,0,0,4.529286222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028760426
ASV000101,0,0,0,0,0.109799616,0,0,0.746976524,0,0,0,0.31444732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000102,0.178550219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062006764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000103,0,0,0,0,0,0,0,0,0,0.795324456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000104,0,0,0,0,0.001834714,0.015710919,0.002082552,0.047822185,0,0.001430984,0,0.002644243,0.007434462,0.001025862,0.041704206,0,0,0.017695983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000106,0,0,0,0,0,0,0,0,0,0,0.093373833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199713501,0,0,0,0
ASV000107,0,0,0,0.004417351,0,0,0,0,0,0.010041975,0,0,0,0.168965575,0.014334792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258286698,0
ASV000108,0,0,0,0,0,0,0,0,0,0.522309035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143620677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000110,0,0,0,0,0,0,0,0,0,0.39495149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631935882,0,0,0,0,0
ASV000111,0,0,0,0,0.013392826,0,0,0,0,0,0,0,0.01541307,0.138688661,0,0,0,0,0,0,0,0,0,0,0,0,1.163686806,0,0,0,0,0
ASV000112,0.153448375,0.004728244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000113,0.129554986,0.127662592,0,0,0.002964543,0,0,0,0,0.001430984,0,0,0.000474901,0.00259964,0.000880947,0.135287486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000114,0,0,0,0,0,0,0,0,0,0,0,0.103537532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005968724,0.848214286,0,0,0
ASV000115,0,0,0,0,0,0,0,0,0,0,0.014134775,0.087829494,0.017571354,0.192240541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172191132,0.017313019
ASV000116,0,0,0,0.295962541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000117,0,0,0,0.393144271,0,0,0,0,0,0,0,0,0.079120427,0,0,0,0,0,0,0,0,0,0,0,0,0.559820857,0,0,0,0,0,0
ASV000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600028967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186458315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000121,0,0,0,0.638307271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000123,0.017739697,0.411357242,0,0,0,0,0,0,0,0.124520496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029761905,0,0,0
ASV000124,0,0,0,0,0,0,0,0,0,0.206024439,0.023062212,0.002876043,0.008220304,0.052437932,0,0,0,0,0,0,0,0,0,0,0,0.023992322,0.192663379,0.065655963,0.148809524,0,0.107619458,0.017313019
ASV000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017695983,0,0.03816198,0.123987601,0.163046247,0.007614059,0.088321342,0,0,0,0,0,0,0,0
ASV000126,0,0,0,0,0,0,0,0,2.391857506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000127,0,0,0,0,0,0,0,0,0,0.562350626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000128,0,0,0,0,0,0,0,0,0,0,0.154685566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200411012,0,0,0,0,1.09432799,0,0,0,0.236762807,0
ASV000130,0,0,0,0,0,0,0,0,0,0,0,0.046975362,0.015671748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93708965,0,0,0,0
ASV000131,0,0,0,0,0,0,0,0,0,0,0.014062324,0,0,0.034284271,0.053513515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000132,0,0,0,0,0,0,0,0,0,0,0.126560918,0,0.017571354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006908463,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608809836,0,5,0,2.055137845
ASV000136,0,0,0,0,0,0,0,0,0,1.768968457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000137,0,0,0,0,0,0,0,0,0,0,0.001687479,0.005288487,0,0.034284271,0,0,0,0,0,0,0,0,0,0,0,0,0.55487053,0,0.267857143,0,0,0
ASV000138,0,0,0,0,0,0,0,0,0,0.232973831,0,0,0,0.028269486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489435359,0,0,0,0
ASV000139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116220576,0.171982802,0.122284686,0.028933423,0,0,0,0,0,0,0,0,0
ASV000140,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033081314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968552941
ASV000142,0,0,0,0,0,0,0,0,0,0,0.360436765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061652281,0,0,0,0,0
ASV000143,0,0,0,0,0,0,0,0,0,0,0.116611894,0,0,0,0.033225424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000144,0,0,0,0,0,0,0,0,0,0,0,0.576445079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25297619,0,0,0
ASV000145,0,0,0,0,0,0,0,0,0,0,0.131060862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
