Group,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Control,Control,Control
ASV000011,0,0.02119093,0.299760192,0.087417479,0.050352467,0.06002401,0,0.00233296,0,0,0,0,0.080682342,0.087913028,0.945529785,0.503756831,0.211441372,0.589616968,3.204315225,13.78017098,13.92733575,7.634832542,0,0.045392646,0,0,0.414250207,0.124575311,0.019780437,0.020603688,0.027727714,0,0.036670334,0.017844397,0.049209139,0.114476012,0.12143858,0.313277435,0.222129668,2.151730257,0.639326368,2.120794975,0.888257239,0.519973589,0,0.116561438,0
ASV000012,0.030487924,2.608907594,0,0.081234878,0.014386419,0.120048019,0.088811348,0.22096402,1.504933456,1.427167753,1.02449114,0.139840093,0.749193177,0.205459278,0.654412472,0.392759563,0.543758464,0.594007153,0.3529464,0.186667358,0.616415082,5.631365383,0.074092368,0.090785293,0.091491308,0,0.828500414,0,0.019780437,0.041207376,0.027727714,0.112233446,1.026769344,2.640970735,8.358523726,21.92735977,24.39981317,17.27632913,9.343329168,0.096125407,0.187119913,0.632366859,0.874933381,0.705678442,0,0.596941336,0
ASV000013,0.012291052,0.13903032,0,2.444549102,0,4.681872749,4.804642236,1.686223519,5.43345739,8.860069334,4.390087842,5.162006718,4.668049793,8.44317215,0.050524492,0,0,0.440872485,0.05207802,0,0,0,0.197579649,0.817067635,20.49405306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012396694,0
ASV000014,0.030054389,1.031517641,0.599520384,0.366024342,0.143864192,0,0.083271253,0.121252816,0.28153202,0.315014876,0.304861363,0.165823812,0.795297372,0.43299642,1.917524781,1.041666667,0.18329383,0.29801131,0.593684853,0.985213257,2.052773351,2.766708396,0,1.906491148,0,0,0,2.01585504,0.049451093,0.113320284,0.055455428,0.030609122,0.036670334,0,0.119507909,0.322614216,0.177487156,0.405417857,0.166597251,0.369713103,1.559332606,1.978835068,2.678095576,7.366292506,0.010651896,0.026802942,0
ASV000015,0,0,0.35971223,1.420514672,0.985469717,8.763505402,14.47675547,2.517350621,6.281579373,1.937468527,0.138457266,0.004542564,0.046104195,0.053316272,0.055336349,0.648907104,0.024819597,0,0,0,0,0.003376553,0,0.090785293,1.463860933,0,0.082850041,0,0.079121749,7.664571958,4.46416193,1.091725334,3.703703704,0.071377587,1.110720562,0.093662192,0,0,0,0,0,0,0,0,0,0,0
ASV000016,0.032471823,0,0,0,0.115091354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098789825,0.635497049,0.365965233,0,0.497100249,0,0,0.236942413,0.9011507,0.99989797,2.420242024,15.16773733,1.033391916,3.538349464,2.933208781,1.409748457,5.63654033,2.528837622,14.57975986,4.727695087,12.32012791,8.331957742,0,0.023935292,0
ASV000017,0,0,0,0.029086678,0,0,0,0,0,0.018129079,0,0,0,0.015376336,0,0.017076503,0.002911971,0.016979468,0.014444605,0,0.002114388,0,0,0,0.274473925,44.43420031,0,0,0,0,0,0,0,0,0,0.01040691,0.009341429,0,0,0,0,0,0,0,0.503055906,0.042385977,0
ASV000018,0,1.258899677,1.738609113,0.607977776,0,0.06002401,0.443143605,0.765293416,0.338042928,0.114876508,0.60319122,0.929100388,1.071922545,0.780906923,0.909440862,0.461065574,0.393494513,0.876092902,3.741787019,1.947543157,1.695081626,2.889154868,0,0,0,0,0,0.011325028,0.009890219,0,0,0,0.036670334,0,0,0,0,0,0,0,0,0.17637443,0.026647717,0,0,0.059469208,0
ASV000019,0,0,0,0.036688785,0,0,0.296839618,0.099230569,0.273232048,0.201033889,0.097760451,0.186830325,0.899031812,0.142967295,0.377730729,0.452527322,0.24786001,0.51748852,0.724593973,0.797265747,1.549952724,1.473676927,0.049394912,0,0,0,0,0.20385051,0,0.05150922,0,0.030609122,0,0,0.063268893,0.031220731,0.168145726,0.046070211,0.069415521,0.110913931,0.031186652,0.068829046,0.097708296,0.074281941,0,0.049744139,0.145772595
ASV000020,0.051535766,0.248034907,0.479616307,0.405193442,0.316501223,0.06002401,1.299887523,0.040628163,0.383851728,0.157955198,0,0,0,0,0,0,0,0,0,0,0,0,0.024697456,0.045392646,0.274473925,0,0.165700083,0.93997735,0.029670656,0.113320284,0.027727714,0.010203041,0.073340667,0.053533191,0.154657293,0.333021126,0.429705745,0.304063393,0.263778981,3.016858917,0.452206456,1.204508303,1.869781489,2.863981512,0,0,0
ASV000021,0,0.009709681,0,0.015723765,0.021579629,0,0.016581225,0.055953608,0.015966347,0.04307869,0.008549619,0.061123096,0.034578147,0.209804265,0.043306708,0.085382514,0.676957605,0.73840661,0.324831315,0.39191565,0.267332415,0.386247541,0,0,0,0,0,0,0,1.359843412,0.055455428,0.336700337,0.165016502,0,0.07029877,0.01040691,0.102755722,0.073712338,0.083298626,0.687666371,0.015593326,0.318334337,0.03553029,0.218719049,0,0,0
ASV000022,0.020180771,0.049871626,1.498800959,0.061500603,0.064738886,1.56062425,0.199557957,0.162670265,1.018019179,1.0048154,0.140919998,0.296429756,5.889810973,4.905252389,0.625541334,7.095286885,1.328557612,0.967427,0.492340807,2.29520757,2.072057253,1.937003908,0.049394912,0.045392646,0,0,0,0,0.019780437,0.030905532,0.027727714,0.091827365,0.036670334,0.035688794,0,0.01040691,0,0,0.013883104,0,0.046779978,0.06452723,0,0,0,0.168699534,0
ASV000023,0,0,0,0.014675514,0,0,0.003014681,0,0.005847319,0,0,0,0.011526049,0,0,0,0,0,0.035397337,0.042904531,0.295220085,0.309905149,0,0,0,0,0,0.022650057,0,0,0,0,0,0,0,0,0.009341429,0,0,0,0,0,0,0.004126775,0.003950071,0,0
ASV000024,0,0,0,0.000991444,0.014386419,0,0.04845303,0.080251051,0.028359223,0.057438254,0.044750594,0.014263523,0.518672199,0.154499547,0.074583774,0.162226776,0.058803813,0.687320408,0.950009971,1.565305114,0.893768549,0.992775958,0,0,0,0,0,0.611551529,0.029670656,0,0,0,0,0,0,0,0.009341429,0,0,0,0,0.030112708,0,0,0,0.008253549,0
ASV000025,0,0.009709681,0,0.100148805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016699902,0.054236511,0.05127228,0.265941782,0.209987488,0,0.090785293,0,0,0.165700083,16.09286523,0,0.010301844,0,0,0,0,0,0,0,0,0,0,0,0,0.004441286,0,0,0.000883041,0
ASV000026,0.010307153,0.042381861,0.299760192,0.062997275,0,1.50060024,0.117463683,0,0.017734037,0.014359563,0.031306735,0,0.080682342,0.068692608,0.336829949,0.554986339,0.110504998,0.338400355,1.80190756,3.98129132,1.36506907,0.168732893,0,0.090785293,0,0,0,0.033975085,0,0,0,0,0,0,0,0,0.009341429,0,0,0,0,0.718403166,0,0.041267745,0,0.146687845,0
ASV000027,0,0.250256052,0,0.005948663,0,0,0,0.00466592,0.007615009,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0,2.632773491,2.012808783,0,1.491300746,0,0,6.016276914,8.304450298,6.529945924,2.823615695,1.802284083,0.576449912,0.135289832,0.177487156,0.018428084,0.013883104,0.310559006,0.031186652,0.391465198,3.593000533,0.251733245,0,0.024338796,0
ASV000028,0,0,0,0.083507838,0,0.06002401,0.037902122,0.408586962,0.717054545,1.057047141,1.107566225,0.396333897,1.63669894,0.438696141,4.371571552,5.011953552,0.43397672,0.264875574,0.365156539,0.404808933,0.284682394,0.169052416,0.049394912,0,0,0,0,0,0.06923153,0.010301844,0,0.010203041,0,0,0.042179262,0.062441461,0.009341429,0.055284253,0.041649313,0.029577048,0,0.077432677,0,0.012380324,0,0,0
ASV000029,0,0.062676099,0,0.916964904,0.00719321,0.06002401,0.203498159,1.823362349,0.123468423,0.071797817,8.36980259,0.008035212,0.034578147,0,0,0,0.005823942,0.16418444,0.33125542,0.139209092,0.520152815,0.871790585,0,0.272355878,0,0,0,0,0.059341311,0.030905532,0.152502426,0,0,0.035688794,0,0.041627641,0,0.147424675,0.09718173,0,0,0.004301815,0,0,0,0,0
ASV000030,0,0.02119093,0.119904077,0.048915555,0.014386419,0.06002401,0,0,0,0,0,0,0.011526049,0.037571842,0.185256472,0.145150273,0.01803678,0.143898671,0.843770684,3.254960879,3.236833484,1.894433294,0,0,0,0,0,0,0,0,0,0,0,0,0.007029877,0.02081382,0.037365717,0.046070211,0.055532417,0.347530316,0.109153282,0.524821475,0.18653402,0.160944206,0,0.029140359,0
ASV000031,0.009873618,0,0,0.732056808,0,0,0.010049256,0.011209761,0.041686608,0.04307869,0.045102779,0.029062284,0.080682342,0.032858761,0.06736599,0.008538251,0.021599784,2.352904007,0.49478919,0.640943063,1.313009526,0.883033837,0.049394912,0.045392646,0,0,0.414250207,0,0,0.020603688,0,0,0,0,0,0.01040691,0,0.027642127,0,0.029577048,0,0.043018154,0,0,0.010651896,0,0
ASV000032,0.029620853,0.019419361,0.419664269,0.16044817,0.014386419,0.540216086,1.064285195,0.762285894,0.994634187,1.025276997,0.415143889,0.304844592,0.645458737,1.054087335,0.399384082,0.981898907,2.851464995,0.033197572,0.002011425,0,0,0,0,0.045392646,0.091491308,0,0,0,0.009890219,0.010301844,0.027727714,0.091827365,0.018335167,0.303354747,0.83655536,2.632948278,0,0,0,0.140490979,0.483393108,0,0,0,0,0,0
ASV000033,0.054636493,1.181311947,0,1.129372396,0,0,0.261078742,0.055138727,0.099893168,0,0.028355726,0.031070374,0.161364684,0,0,0,0,0.094359114,0.003485657,0.007174631,0,0,0,0.136177939,0.091491308,0,0,0,0.009890219,0,0.194093997,0.040812162,0.201686835,0.356887937,0.386643234,0.083255282,0.037365717,0.119782549,0,0.79118604,0.046779978,0.309730706,1.452300586,0.330141961,0,0,0
ASV000034,0.012291052,0.485509529,0.239808153,0.019405504,0,0.300120048,0.415216438,0.072973767,0.480928757,0.100516944,0,0,0,0.003844084,0,0,0.001105767,0,2.192379398,2.343259139,1.0293981,4.695982403,0,0.090785293,0.54894785,0,0,0,0,0,0.013863857,0,0,0,0,0,0,0.009214042,0,0,0,0.133356276,0,0,0,0.122713674,0
ASV000035,0,0,0,0.003965775,0,0,0.025122664,0.00466592,0.010701367,0.04307869,0.019453923,0,0,0.013019795,0,0,0.005528833,0.391068649,0.222946636,0.152377148,0.689252903,1.34810155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025810892,0.004441286,0.004126775,0,0,0
ASV000036,0,0,0,0,0,0,0.029645163,0.045876488,0.01468577,0.014359563,0.026795284,0.073165635,4.18395574,0.494619406,0.680877683,1.152663934,0.409429018,0.720827578,1.15678163,0.597263439,0.574674705,0.439709364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030112708,0,0.008253549,0.011916111,0.005271325,0
ASV000037,0,0,0,0.100047262,0.050352467,0.06002401,0.049743676,0.079972647,0.131852635,0.10428646,0.10773186,0.404231792,0.057630244,0.155118092,0.038494851,0.017076503,0.024720785,1.001874602,0.187498307,0.454864817,0.177628812,0.076888285,0,0.953245574,0.182982617,0,0,0.158550396,0.059341311,0.195735037,0.152502426,0.346903377,0.34836817,0.017844397,0.189806678,0.176917473,0.112097151,0.073712338,0.013883104,1.212658977,0.483393108,0,0.226505596,0.247606471,0,0,0
ASV000038,0,0.030452265,0,0,2.344986333,0,0.006749141,0,0.017016754,0.235678028,0.003349411,0,0.046104195,0.074274687,0,0,0,0,0.005497081,0,0,0,0.024697456,0.045392646,0,0,3.148301574,0.011325028,0.603303333,0.092716596,0.263413282,0.561167228,0.476714338,1.802284083,1.286467487,10.2195858,2.802428772,2.745784576,2.040816327,0.155279503,3.976298144,0.722704982,1.16805827,1.031693628,0,0,0
ASV000039,0,0.063572791,0.119904077,0.22772323,0,0,0.012561332,0.00933184,0.052264346,0.079336848,0.014652117,0.02124882,0,0.02368305,0.004811856,0,0.012458542,2.931440293,0.248967965,2.4019959,0.933705427,0.328027244,0,0,0,0,0,0,0,0.010301844,0,0,0,0,0,0,0,0,0,0,0,0.073130861,0,0.004126775,0,0,0
ASV000040,0,0,0,0.002096502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01017112,0.051581666,0.063247218,0.12124002,0.083730542,0,0,0,0,0,0.033975085,0,0.020603688,0,0.071421284,0.055005501,0,0.028119508,0,0.009341429,0.018428084,0,0.022182786,0.015593326,0.008603631,0,0.004126775,0,0,0
ASV000041,0,0,0,0,0,0,0,0,0.136645406,1.217876334,1.457255004,0.373856728,2.75472568,0.870823563,0.596670195,2.681010929,0.665044775,0.545819248,0.444478576,0.290261783,0.256899314,0.371073978,0,0,0,0,0,0,0,0,0,0.010203041,0,0,0,0,0,0,0,0,0,0.06452723,0,0,0,0,0
ASV000042,0,0,0,0.002096502,0,0,0,0,0,0.014359563,0.008503401,0,0,0.009175711,0,0,0,0.137587514,0.117393952,0.083589904,0.443850719,0.139262174,0,0.045392646,0,0,0,0,0,0.010301844,0,0,0,0,0.007029877,0,0,0,0,0,0,0.004301815,0,0,0,0,0
ASV000043,0,0.568478638,0,0.140971535,0.122284563,0.180072029,0.043714313,0.181203237,0.979653678,0.014359563,0.019453923,1.662356134,0.495620101,1.066473418,0.72418439,1.818647541,0.191045404,0.037642352,0.064091484,0.004553734,0.002382484,0,0.049394912,0.726282342,1.280878317,0.004852484,0,0,2.235189398,0.061811064,0.013863857,0,0.036670334,0.089221984,0.506151142,0.322614216,0.074731434,1.704597807,0.180480355,0.207039337,0.07796663,0.35274886,0,0.020633873,0,0.060054242,0
ASV000044,0.183452834,0,0,0.004193004,1.043015393,0.480192077,0.715150765,0.866634999,2.386391613,2.110147744,0.742112769,0.29154429,0.092208391,0.249599839,0.115484554,0.008538251,0.022459846,0.395794014,0.188312243,0.009600614,0,0,0.148184737,0.363141171,0.731930467,0,0,0.011325028,0.039560874,0.030905532,0.097046998,0.051015203,0.018335167,0,0,0.041627641,0.186828585,0.138210633,0.569207275,0.022182786,0.046779978,0.098941753,0,0.243479696,0,0.037140971,0
ASV000045,0,0.218030988,0.35971223,0.081195506,0,0.420168067,0.626094615,1.519081489,1.032889443,0.258472142,0.101752402,0.035432307,0.126786538,0.249364554,0.324800308,0.495218579,1.145341664,0.003233421,0,0,0,0,0,0.045392646,0.731930467,0,0,0,0.009890219,0.10301844,1.039789269,0.744821957,0.476714338,0.463954318,0.407732865,1.10313248,1.130312938,0.54362849,1.985283909,0.03697131,0.155933261,0.030112708,0,0,0,0,0
ASV000046,0.010307153,0.586573546,2.877697842,0.865815576,0.266148756,6.542617047,3.382142564,0.326118593,1.133997768,0.100516944,0.070520548,0.005713633,0.011526049,0.010663254,0,0,0,0.015717107,0.018502669,0.101001547,0.033795964,0.01257482,0,0.045392646,0.457456542,0,0.828500414,0,0.029670656,0.092716596,0.027727714,0.020406081,0,0,0.007029877,0.364241857,0.046707146,0.138210633,0.041649313,0.029577048,0.187119913,0.098941753,0,0.012380324,0,0,0
ASV000047,0.113378685,0,0,0.206917419,0,0,0.177088979,0.036417283,0.053228885,0,0.360367117,0.250277197,0.149838635,0.291281383,0.151573477,0,0.041934938,0.460199376,1.03467259,1.060992132,0.76647405,0.656719026,0,0.090785293,0.091491308,0,0,0.022650057,0,0,0,0,0,0,0,0,0,0,0.027766209,0,0,0.077432677,0,0,0,0.035490261,0
ASV000048,0.012291052,0.029129042,0.059952038,0.203028137,0.287728384,0.120048019,0.317125145,0.63970297,1.729158758,1.283572118,1.451062716,0.943397067,0.979714154,1.711395359,0.117890482,0,0.045374427,0.040848422,0.00402285,0,0,0,0,0.090785293,0,0,0,0,0.20769459,0.133923972,0.041591571,0.081624324,0,0.214132762,0.077328647,0.832552815,0.168145726,0.184280844,0.388726919,0.022182786,0.218306565,0.008603631,0,0.004126775,0,0,0
ASV000049,3.53942638,0.377871793,0,0.056037482,0,0,0.065207932,2.509460414,0.057040254,0.018129079,2.076987337,2.146279899,0.437989857,0.341857854,0,0.008538251,0.004423066,0.251917595,0.533981225,0.267843008,0.195265233,0.203778063,3.976290442,0.226963232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004126775,0,0,0
ASV000050,0,0,1.438848921,0.002974332,0.079125306,0,0.009044044,0,0,0.906453952,0,0,0,0.023064504,0.016841497,0,0.242269801,0.069943738,0.021322988,0.009600614,0.120702396,0.003188877,0,0,1.189387008,0.033967391,1.242750621,0.045300113,0,0,0,0,0,0,0,0.041627641,0.028024288,0.009214042,0,0.022182786,0,0.301127076,0.048854148,0.012380324,1.342264396,1.222061996,0.342734038
ASV000051,0,0,0,0,0,0,0,0,0.084598285,1.037304042,0.98564636,0.227968955,1.798063624,0.789479255,0.69771918,2.484631148,0.749330625,0.408154296,0.306922744,0.245476075,0.23305857,0.180739312,0.024697456,0,0,0.004852484,0,0,0,0,0,0,0,0,0,0,0.018682858,0,0,0,0,0.021509077,0,0,0,0,0
ASV000052,0.335846577,0.501922582,0.059952038,0.267954604,0.014386419,0.120048019,0.097353741,0.5326988,0.054452326,0.014359563,0.308989405,1.818794644,0.322729368,0.340237502,0.002405928,0.315915301,0.084102847,0.016637961,0.067058286,0.131851462,0.108579182,0.19237038,0.148184737,1.679527916,0,0,0,0.441676104,3.392344971,0.659318018,0.277277138,0.275482094,0.421708838,2.016416845,1.722319859,0.197731294,0.046707146,0.340919561,0.249895877,0.147885241,0.857632933,0,0.008882572,0.264113569,0.010651896,0,0.204081633
ASV000053,0,0,0,0.400483138,0.841605524,0.780312125,0.766948674,0.41000135,0.580917481,1.492863536,0.196619173,0.328293838,0.461041955,0.623447456,0.880569724,0.170765027,0.666194849,0.003233421,0,0,0.004385965,0,0,0.226963232,3.202195791,0,0.57995029,0,0.34615765,0.391470073,0.346596423,0.326497296,0.073340667,0.62455389,0.281195079,0.218545114,0.252218589,0.138210633,0.09718173,0.029577048,0.015593326,0,0,0,0,0,0
ASV000054,0.009873618,0.331006475,2.517985612,1.135843908,0.258955546,0,0.019025038,0.042259848,0.037970464,0.014359563,0,0.232912354,0.046104195,0.959150185,0.935906073,1.109972678,0.266471065,0.085955803,0,0,0,0,0,0,0,0,0,0,0.009890219,0.803543834,0.166366283,0.418324661,0.018335167,0.035688794,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000055,0.024582104,0.218479334,0,0.248183022,2.129190045,0.720288115,0.072570482,0.022944162,0.260593768,0.100516944,0.005200208,0.139528801,0.034578147,0.015994882,0,0.025614754,0.035753748,0.250550551,0.076165075,0.730105568,0.311476064,0.119794641,0,0.045392646,0,0.014557453,1.491300746,0,0.029670656,1.710106109,0.166366283,0.918273646,0.385038504,0.035688794,0.154657293,0.02081382,0.065390005,0.055284253,0.180480355,2.624963029,0.483393108,0.180676245,0.088825724,0.284747441,0,0.02207603,0
ASV000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003485657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126537786,3.819336039,5.02568893,8.366350318,4.609190615,0.110913931,0.140339935,0.107545384,0.026647717,0,0,0,0
ASV000057,0,0.21585593,0.539568345,0.109126355,0,0.06002401,0.089109166,0.223373153,0.061380414,0.071797817,0.155314924,0.239371268,0.276625173,0.177681693,0.216533539,0.119535519,0.122966189,0.226003787,0.948698584,0.537412393,0.365512748,0.784641108,0,0,0,0,0,0.011325028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043018154,0,0,0,0.018174179,0
ASV000058,0,0.038838722,0,0,0,0,0.053478135,0.228972826,0.134818952,0.488225158,0.069618258,0.441382174,0.20746888,0.678634532,0.606293908,0.503756831,0.243783545,0.122397735,0.531763032,0.256997797,0.528475629,0.034716272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030112708,0,0,0,0,0
ASV000059,0,0.072834126,0,0.043995457,0,0.06002401,0.136774156,0.268015232,0.330216795,0.349117538,0.581960763,0.465110384,1.602120793,0.261132091,0.683283611,1.297814208,0.346770502,0.147684089,0.154961031,0.013907775,0.061504828,0.038537981,0,0,0,0,0,0,0.049451093,0.082414752,0.097046998,0.173451689,0.311697836,0.071377587,0.506151142,0.520345509,0.308267165,0.37777573,0.111064834,0.746820467,0.015593326,0,0.044412862,0,0,0,0
ASV000060,0,0,0.959232614,0.81811333,0.00719321,0.360144058,0.511330976,0.402821185,0.513963447,0.188111323,0.203229441,0.199659262,0.184416782,0.145942381,0.387354441,0.264685792,0.08766585,0,0,0,0,0,0,0,0,0,0.082850041,0,0.543962022,0.329659009,0.415915708,0.255076013,0.751741841,1.730906495,0.44288225,0.322614216,0.504437179,0.37777573,0.416493128,0.022182786,0.327459847,0,0,0.008253549,0,0.014128659,0
ASV000061,0.010307153,0.02119093,0,0.03118318,0,1.140456182,1.773955844,2.403825472,0.794860877,1.681870379,0.243103966,0.343790105,0.149838635,0.166900796,0.043306708,0,0.015174215,0.011562832,0.0080457,0,0,0,0.123487281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000062,0.012291052,0.079449014,0,0.087379685,0,0,0.009261216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028119508,2.050161307,0.392340028,1.0043306,0.777453839,0.310559006,2.307812256,0.696894089,1.456741872,0.519973589,0,0,0
ASV000063,0.032905358,0.082992152,0,0.090303246,0.762480219,0,0,0,0.00176769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049394912,0,0,0,0.248550124,0,0.029670656,0.05150922,0.18023014,0.214263851,0.146681335,0.089221984,0.309314587,0.052034551,0.084072863,0.092140422,0.013883104,0.695060633,1.590519258,1.320657317,0.85272695,2.418289865,0,0.032451728,0
ASV000064,0,0.278040056,0,0,5.186304129,0.06002401,0.131723329,0.022489123,0.026418499,0,0,0,0.034578147,0.036702845,0,0,0,0,0,0,0.002382484,0.014297999,0.024697456,0.181570586,0,0,4.888152444,0.022650057,4.401147265,1.019882559,2.315264106,3.050709111,0.458379171,0.089221984,0.007029877,0,0,0.009214042,0,0,0,0,0,0,0,0,0
ASV000065,0,0,0,0,0.00719321,0.06002401,0.130582546,0.195780173,0.113482711,0.347503519,0.085218882,0.079828588,1.037344398,0.259026002,0.531710134,0.56352459,0.33701169,0.159065551,0.309925927,0.091607575,0.320893659,0.197434402,0,0.272355878,0.274473925,0,0.414250207,0.022650057,0.009890219,0.010301844,0.083183142,0.040812162,0.036670334,0,0.028119508,0.208138204,0.149462868,0.064498295,0.124947938,0.029577048,0,0.159167169,0.115473441,0.103169363,0,0.000825355,0
