Group,L0_G,L1_G,L3_G,L4_G,L6_G,L8_G,L9_G,L10_G,L11_G,L12_G,L13_G,L14_G,L16_G,L17_G,L18_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L2_R,L3_R,L5_R,L6_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L16_R,L18_R,L19_R,L20_R,S16_R,S17_R,S18_R,S19_R,S20_R
Otu000021,0,0.015225335,0,0.022541815,0.021579629,0,0.016235348,0.058429283,0.019694516,0.048084629,0.008316354,0.071258907,0.034650035,0.214678653,0.043311918,0.085389804,0.731439501,0.696097364,0.229376258,0.360991665,0.297427653,0.375928633,0,0,0,0,0,0,0,1.365752716,0.055733593,0.338496256,0.166604961,0,0.070611496,0.010413412,0.1028518,0.073800738,0.083460843,0.688328029,0.015620119,0.318375425,0.035542918,0.218809347
Otu000022,0.021779375,0.06090134,1.498800959,0.091670048,0.064738886,1.570996979,0.194824171,0.168413817,1.122587422,0.961692579,0.145536197,0.352335709,5.902055902,5.103090478,0.625616593,7.09589275,1.361929725,0.69460038,0.422535211,2.081010777,1.988210075,2.109377331,0.049763623,0.04576659,0,0,0,0,0.019896538,0.031039834,0.027866797,0.092317161,0.037023325,0.036081544,0,0.010413412,0,0,0.01391014,0,0.046860356,0.064535559,0,0
Otu000023,0,0,0,0.021039027,0,0,0.00324707,0,0.004376559,0,0,0,0.011550012,0,0,0,0,0,0.042924212,0.042469608,0.286709539,0.331175225,0,0,0,0,0,0.02266289,0,0,0,0,0,0,0,0,0.009350164,0,0,0,0,0,0,0.004128478
Otu000024,0,0,0,0.001502788,0.014386419,0,0.048706043,0.085925417,0.035012473,0.064112839,0.049898125,0.011876485,0.51975052,0.152064046,0.074592748,0.162240628,0.061986398,0.749988773,0.692152918,1.337792642,1.07449089,0.939821583,0,0,0,0,0,0.611898017,0.029844807,0,0,0,0,0,0,0,0.009350164,0,0,0,0,0.030116594,0,0
Otu000025,0,0.015225335,0,0.024044603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011975869,0.030851777,0.05308701,0.289389068,0.214816362,0,0.091533181,0,0,0.165975104,16.101983,0,0.010346611,0,0,0,0,0,0,0,0,0,0,0,0,0.004442865,0
Otu000026,0.010889687,0.03045067,0.299760192,0.051094781,0,1.510574018,0.116894503,0,0.021882796,0.01602821,0.033265416,0,0.080850081,0.062614607,0.336870473,0.555033729,0.131056957,0.297899732,2.558014755,4.08769974,1.211146838,0.167079393,0,0.091533181,0,0,0,0.033994334,0,0,0,0,0,0,0,0,0.009350164,0,0,0,0,0.718495891,0,0.041284782
Otu000027,0,0.182704019,0,0.009016726,0,0,0,0.006874033,0.006564839,0,0,0,0,0,0,0,0,0,0,0,0.002679528,0,0,2.654462243,2.014652015,0,1.493775934,0,0,6.042421107,8.346105615,6.564775874,2.850796001,1.822117987,0.579014264,0.135374362,0.177653109,0.018450185,0.01391014,0.31085782,0.031240237,0.391515725,3.59427759,0.251837173
Otu000028,0,0,0,0.081150534,0,0.060422961,0.035717765,0.354012717,0.870935271,1.057861837,1.064493326,0.41567696,1.64010164,0.420412362,4.3720975,5.012381522,0.490578067,0.211074685,0.374245473,0.424696077,0.284030011,0.176030074,0.049763623,0,0,0,0,0,0.069637883,0.010346611,0,0.010257462,0,0,0.042366897,0.062480475,0.009350164,0.055350554,0.041730421,0.029605507,0,0.077442671,0,0.012385435
Otu000029,0,0.045676005,0,1.284883459,0.00719321,0.060422961,0.194824171,1.921292318,0.135673334,0.080141048,7.401555158,0.007917656,0.034650035,0,0,0,0.00354208,0.134728522,0.431924883,0.138026225,0.509110397,0.850314766,0,0.274599542,0,0,0,0,0.059689614,0.031039834,0.153267382,0,0,0.036081544,0,0.04165365,0,0.147601476,0.097370983,0,0,0.004302371,0,0
Otu000030,0,0.015225335,0.119904077,0.031558541,0.014386419,0.060422961,0,0,0,0,0,0,0.011550012,0.040252247,0.18527876,0.145162668,0.01948144,0.133231538,0.806170355,2.951637734,3.4056806,1.772234985,0,0,0,0,0,0,0,0,0,0,0,0,0.00706115,0.020826825,0.037400655,0.046125461,0.055640562,0.347864703,0.109340831,0.524889214,0.18660032,0.161010651
