Group,S2014plt4,S2015plt4,S2016plt4,S2024plt4,S2025plt4,S2026plt4,S2034plt4,S2035plt4,S2036plt4,S2045plt4,S2046plt4,S204Aplt4
Otu00077,0,0,0,0,1,0,0,0,0,0,0,0
Otu00078,0,4,14,0,0,0,0,0,0,1,0,11
Otu00079,0,0,0,0,0,0,0,0,0,0,0,0
Otu00080,0,0,0,0,0,0,0,0,0,0,0,0
Otu00081,0,1,6,0,28,3,0,0,0,0,0,18
Otu00082,0,2,4,1,0,0,0,0,0,2,0,0
Otu00083,0,0,0,0,0,0,0,0,0,0,0,0
Otu00084,0,0,0,0,0,0,0,0,0,0,0,0
Otu00085,0,0,0,1,1,0,3,3,2,3,3,0
Otu00086,0,0,0,0,0,0,0,0,0,0,0,0
Otu00087,0,0,0,0,0,0,0,0,0,0,0,0
Otu00088,0,0,0,0,1,0,0,0,0,0,0,0
Otu00089,0,0,0,0,0,0,0,0,0,0,0,0
Otu00090,0,0,0,0,0,0,0,0,0,0,0,0
Otu00091,16,13,4,0,3,0,0,0,0,1,0,0
Otu00092,0,0,0,0,0,5,0,0,0,1,0,0
Otu00093,0,4,0,0,1,0,0,0,0,0,0,13
Otu00094,0,0,4,0,0,6,2,0,0,0,1,1
Otu00095,23,0,0,0,5,0,0,0,0,0,0,0
Otu00096,0,0,0,0,0,0,0,0,0,0,0,0
Otu00097,0,0,0,0,0,0,0,0,0,0,0,0
Otu00098,0,0,0,0,0,0,0,0,0,0,0,0
Otu00099,0,5,0,0,0,0,0,0,0,1,0,4
Otu00100,0,0,0,0,0,0,0,0,0,0,0,0
Otu00101,0,0,0,0,0,0,0,0,0,0,0,0
Otu00102,0,0,0,0,0,0,0,0,0,0,0,0
Otu00103,0,0,0,0,0,0,0,1,0,0,0,0
Otu00104,0,0,0,0,1,2,0,0,0,0,0,0
Otu00105,11,0,6,0,0,0,0,1,0,1,0,3
Otu00106,0,0,0,0,0,0,0,0,0,0,0,0
Otu00107,0,0,0,0,0,0,0,0,0,0,0,0
Otu00108,0,0,0,0,0,0,0,0,0,0,0,0
Otu00109,0,0,0,0,0,0,0,0,0,0,0,0
Otu00110,0,0,0,0,0,0,0,0,0,0,0,0
Otu00111,0,0,0,0,0,0,0,0,0,0,0,0
Otu00112,0,0,0,0,0,0,0,0,0,0,0,0
Otu00113,0,0,0,0,0,0,0,0,0,0,0,0
Otu00114,0,0,0,0,9,0,0,2,1,0,0,0
Otu00115,0,0,0,0,0,0,0,0,0,0,0,0
Otu00116,0,0,0,0,0,0,0,0,0,0,0,0
Otu00117,0,0,0,0,0,0,0,0,0,0,0,0
Otu00118,0,0,0,0,0,0,0,0,0,0,0,0
Otu00119,0,6,0,0,0,0,0,0,0,0,0,0
Otu00120,0,0,0,0,0,0,0,0,0,0,0,0
Otu00121,0,0,0,0,0,0,0,0,0,0,0,0
Otu00122,0,0,0,0,1,0,0,0,0,0,0,0
Otu00123,0,0,0,0,0,0,0,0,0,0,0,0
Otu00124,0,0,13,1,0,0,0,0,0,0,0,2
Otu00125,0,0,0,0,0,0,0,0,0,0,0,0
Otu00126,0,0,0,0,0,0,0,0,0,0,0,0
Otu00127,0,0,0,0,0,0,0,0,0,0,0,0
Otu00128,0,0,0,0,0,0,0,0,0,0,0,0
Otu00129,0,0,0,0,0,0,0,0,0,0,0,0
Otu00130,0,0,0,0,0,0,0,0,0,0,0,0
Otu00131,0,0,0,0,0,0,0,0,0,0,0,0
Otu00132,0,0,10,0,0,0,0,0,0,1,0,0
Otu00133,0,0,6,0,2,0,0,0,0,0,0,4
Otu00134,0,0,5,0,0,0,0,0,0,0,0,0
Otu00135,0,0,0,0,0,0,0,0,0,0,0,0
Otu00136,0,0,0,0,0,0,0,0,0,0,0,0
Otu00137,0,0,0,0,0,0,0,0,0,0,0,0
Otu00138,11,0,0,0,0,0,0,0,0,0,0,0
Otu00139,0,0,0,0,0,0,0,0,0,0,0,0
Otu00140,0,0,0,0,0,44,0,0,0,0,0,0
Otu00141,0,1,4,0,0,0,0,0,0,0,0,9
Otu00142,0,0,0,0,0,0,0,0,0,0,0,0
Otu00143,0,0,0,0,0,0,0,0,0,0,0,0
Otu00144,0,0,0,0,0,0,0,0,0,0,0,0
Otu00145,0,0,0,0,0,0,0,0,0,0,0,0
Otu00146,0,0,0,0,0,1,0,0,0,0,0,0
Otu00147,0,0,0,0,0,0,0,0,0,0,0,0
Otu00148,28,9,0,0,0,0,0,0,0,0,0,0
Otu00149,0,0,0,0,0,0,0,0,0,0,0,0
Otu00150,0,0,0,0,0,0,0,0,0,0,0,0
Otu00151,0,0,0,0,0,0,1,1,1,1,1,0
Otu00152,0,0,0,0,0,0,0,0,0,0,0,0
Otu00153,0,0,0,0,0,0,0,0,0,0,0,0
Otu00154,0,5,0,0,0,0,0,0,0,0,0,3
Otu00155,0,0,0,0,0,0,0,0,0,0,0,4
Otu00156,0,0,0,0,0,0,0,0,0,0,0,0
Otu00157,0,0,0,0,0,0,0,0,0,0,0,0
Otu00158,0,0,0,0,0,0,0,0,0,0,0,0
Otu00159,0,0,0,0,0,0,0,0,0,0,0,0
Otu00160,0,2,8,0,0,0,0,0,0,1,0,0
Otu00161,0,0,0,0,0,0,0,0,0,0,0,0
Otu00162,0,0,0,0,0,0,0,0,0,0,0,0
Otu00163,0,0,15,0,0,0,0,1,0,0,0,0
Otu00164,0,0,0,0,0,0,0,0,0,0,0,0
Otu00165,0,0,0,0,0,0,0,0,0,0,0,0
Otu00166,0,0,0,0,0,0,0,0,0,0,0,0
Otu00167,0,0,0,0,0,0,0,0,0,0,0,0
Otu00168,0,0,0,0,0,0,0,0,0,0,0,0
Otu00169,0,0,0,0,0,0,0,0,0,0,0,0
Otu00170,0,0,0,0,0,0,0,0,0,0,0,0
Otu00171,0,0,0,0,0,0,0,0,0,0,0,0
Otu00172,0,0,0,0,0,0,1,1,1,1,1,0
Otu00173,4,0,0,0,0,0,0,0,0,1,0,11
Otu00174,0,0,0,0,0,0,0,0,0,0,0,0
Otu00175,0,0,0,0,0,0,0,0,0,0,0,0
Otu00176,0,0,0,0,2,0,1,1,1,1,1,0
Otu00177,38,0,0,0,0,0,0,0,0,0,0,0
Otu00178,21,0,0,0,0,0,0,0,0,0,0,0
Otu00179,0,0,0,0,0,0,0,0,0,0,1,0
Otu00180,0,0,0,0,0,0,0,0,0,0,0,0
Otu00181,0,0,0,0,0,0,0,0,0,0,0,0
Otu00182,0,0,0,0,0,0,0,0,0,0,0,0
Otu00183,0,0,0,0,0,0,0,0,0,0,0,0
Otu00184,0,0,0,0,0,0,0,0,0,0,0,0
Otu00185,0,0,0,0,0,0,0,0,0,0,0,0
Otu00186,0,0,0,0,0,0,0,0,0,0,0,0
Otu00187,0,0,0,0,0,0,1,1,1,1,1,0
Otu00188,0,0,0,0,0,5,0,0,0,0,0,0
Otu00189,0,0,0,0,0,0,0,0,0,0,0,0
Otu00190,0,0,0,0,0,0,0,0,0,0,0,8
Otu00191,0,0,0,0,0,0,0,0,0,0,0,0
Otu00192,0,0,0,0,0,0,1,0,1,1,1,0
Otu00193,0,0,0,0,0,0,0,0,0,0,0,0
Otu00194,0,0,0,0,0,0,0,0,0,0,0,0
Otu00195,0,0,0,0,0,0,0,0,0,0,0,0
Otu00196,0,0,0,0,0,0,0,0,0,0,0,0
Otu00197,0,0,0,0,0,0,0,0,0,0,0,0
Otu00198,0,0,0,0,0,0,0,0,0,0,0,0
Otu00199,0,0,0,0,0,0,0,0,0,0,0,5
Otu00200,0,0,0,0,0,0,0,0,0,0,0,0
Otu00201,0,0,0,0,0,0,0,0,0,0,0,0
Otu00202,0,0,0,0,1,0,0,0,0,0,0,7
Otu00203,0,0,0,0,0,0,0,0,0,0,0,0
Otu00204,0,0,0,0,0,0,0,0,0,0,0,0
Otu00205,0,0,0,0,0,0,0,0,0,0,0,0
Otu00206,0,0,0,0,0,0,0,0,0,0,0,0
Otu00207,0,0,0,0,0,0,0,0,0,0,0,0
Otu00208,0,0,0,0,0,0,0,0,0,0,0,6
Otu00209,0,0,0,0,0,0,0,0,0,0,0,0
Otu00210,0,0,0,0,0,0,0,0,0,0,0,0
Otu00211,0,0,0,0,0,0,0,0,0,0,0,0
Otu00212,0,0,0,0,0,0,0,0,0,0,0,0
Otu00213,0,0,0,0,0,0,0,0,0,0,0,0
Otu00214,0,0,0,0,0,0,0,0,0,0,0,0
Otu00215,0,0,0,0,0,0,0,0,0,0,0,0
Otu00216,0,0,0,0,0,0,0,0,0,0,0,0
Otu00217,0,0,0,0,0,0,0,0,0,0,0,0
Otu00218,0,0,13,0,0,0,0,0,0,0,0,0
Otu00219,0,0,0,0,0,0,0,1,0,0,0,0
Otu00220,0,0,0,0,0,0,0,0,0,0,0,0
Otu00221,0,0,3,0,3,0,0,0,0,0,0,2
Otu00222,0,0,0,0,0,0,0,0,0,0,0,0
Otu00223,0,0,0,0,0,2,0,0,0,0,0,0
Otu00224,0,0,0,0,0,0,0,0,0,0,0,0
Otu00225,0,0,0,0,0,0,0,0,0,0,0,0
Otu00226,0,0,0,0,0,0,0,0,0,0,0,12
Otu00227,0,0,0,0,0,0,0,0,0,0,0,0
Otu00228,0,0,0,0,0,0,0,0,0,0,0,0
Otu00229,0,0,0,0,0,0,0,0,0,0,0,0
Otu00230,0,0,0,0,0,0,0,0,0,0,0,0
Otu00231,0,0,0,0,0,0,0,0,0,0,0,0
Otu00232,0,0,0,0,0,0,0,0,0,0,0,0
Otu00233,0,0,0,0,0,0,0,0,0,0,0,0
Otu00234,0,0,0,0,0,0,0,0,0,0,0,0
Otu00235,0,0,0,0,0,0,0,0,0,0,0,0
Otu00236,0,0,0,0,0,0,0,0,0,0,0,0
Otu00237,0,0,0,0,0,0,0,0,0,0,0,0
Otu00238,0,0,0,0,0,0,0,0,0,0,0,0
Otu00239,0,1,0,0,0,0,0,0,0,0,0,0
Otu00240,0,0,0,0,0,0,0,0,0,0,0,0
Otu00241,0,0,0,0,0,0,0,0,0,0,0,0
Otu00242,0,0,0,0,0,0,0,0,0,0,0,0
Otu00243,0,0,0,0,0,3,0,0,0,0,0,0
Otu00244,0,0,0,0,0,0,0,0,0,0,0,0
Otu00245,0,0,0,0,0,0,0,0,0,0,0,0
Otu00246,0,0,0,0,5,0,0,0,0,0,0,0
Otu00247,0,0,0,0,0,0,0,0,0,0,0,0
Otu00248,0,0,0,0,0,0,0,0,0,0,0,0
Otu00249,0,0,0,0,0,0,0,0,0,0,0,0
Otu00250,0,0,0,0,0,0,0,0,0,0,0,0
Otu00251,0,0,0,0,0,0,0,0,0,0,0,0
Otu00252,0,0,0,0,0,0,0,0,0,1,0,6
Otu00253,0,0,0,0,0,0,0,0,0,0,0,0
Otu00254,0,6,6,0,0,0,0,0,0,0,0,0
Otu00255,0,0,0,0,0,0,0,0,0,0,0,6
Otu00256,0,0,0,0,0,0,0,0,0,0,0,0
Otu00257,0,0,0,0,0,0,0,0,0,0,0,0
Otu00258,0,0,0,0,0,0,0,0,0,0,0,0
Otu00259,0,0,0,0,0,0,0,0,0,0,0,0
Otu00260,0,0,0,0,0,0,0,0,0,0,0,0
Otu00261,0,0,0,0,0,0,0,0,0,0,0,0
Otu00262,0,12,0,0,1,0,0,0,0,0,0,0
Otu00263,0,0,0,0,0,0,0,0,0,0,0,0
Otu00265,0,0,0,2,0,0,0,0,0,0,0,0
Otu00266,0,0,0,0,0,0,0,0,0,0,0,0
Otu00267,0,0,0,0,0,0,0,0,0,0,0,0
Otu00268,0,0,10,0,0,0,0,0,0,0,0,0
Otu00269,0,0,0,0,0,0,0,0,0,0,0,0
Otu00270,0,0,0,0,0,0,0,0,0,0,0,0
Otu00271,0,0,0,0,0,0,0,0,0,0,0,0
Otu00272,0,0,0,0,0,0,0,0,0,0,0,0
Otu00273,0,0,0,0,0,0,0,0,0,0,0,0
Otu00274,0,0,0,0,0,6,0,0,0,0,0,0
Otu00275,0,0,0,0,0,0,0,0,0,0,0,0
Otu00276,0,0,0,0,0,0,0,0,0,0,0,5
Otu00277,0,1,0,0,0,0,0,0,0,0,0,0
Otu00279,0,0,10,0,0,0,0,0,0,0,0,0
Otu00280,0,0,0,0,0,0,0,0,0,0,0,0
Otu00281,0,0,0,0,0,0,0,0,0,0,0,0
Otu00282,0,0,0,0,0,4,0,0,0,0,0,0
Otu00283,0,0,0,0,0,0,0,0,0,0,0,0
Otu00284,0,0,0,0,0,0,0,0,0,0,0,0
Otu00285,0,0,0,0,0,0,0,0,0,0,0,0
Otu00286,0,0,0,0,0,0,0,0,0,0,0,0
Otu00287,0,1,0,0,1,0,0,0,0,0,0,2
Otu00288,0,0,0,0,0,0,0,0,0,0,0,0
Otu00289,0,0,0,0,0,0,0,0,0,0,0,0
Otu00290,0,0,0,0,0,0,0,0,0,0,0,0
Otu00291,0,0,0,0,0,0,0,0,0,0,0,0
Otu00292,0,0,0,0,0,0,0,0,0,0,0,0
Otu00293,0,0,0,0,0,0,0,0,0,0,0,0
Otu00294,0,0,0,0,0,8,0,0,0,0,0,0
Otu00295,0,0,0,0,0,0,0,0,0,0,0,0
Otu00296,0,0,0,0,0,0,0,0,0,0,0,0
Otu00297,0,0,0,0,0,0,0,0,0,0,0,0
Otu00298,0,0,0,0,0,0,0,0,0,0,0,0
Otu00299,0,0,0,0,0,0,0,0,0,0,0,0
Otu00300,0,0,0,0,0,0,0,0,0,0,0,0
Otu00301,0,0,0,0,0,0,0,0,0,0,0,0
Otu00302,0,0,0,0,0,0,0,0,0,0,0,0
Otu00303,0,0,0,0,0,0,0,0,0,0,0,0
Otu00304,0,0,0,0,0,0,0,0,0,0,0,14
Otu00305,0,0,0,0,0,0,0,0,0,0,0,0
Otu00306,0,0,0,0,0,0,0,0,0,0,0,0
Otu00308,0,0,0,0,0,0,0,0,0,0,0,0
Otu00310,0,0,0,0,0,0,0,0,0,0,0,0
Otu00311,0,6,0,2,0,0,0,0,0,0,0,0
Otu00312,0,0,0,0,0,0,0,0,0,0,0,0
Otu00313,0,1,0,0,0,0,0,0,0,0,0,0
Otu00315,0,0,0,0,0,0,0,0,0,0,0,0
Otu00316,0,0,14,0,0,0,0,0,0,0,0,0
Otu00317,0,0,0,0,0,0,0,0,0,0,0,0
Otu00318,0,0,0,0,0,0,0,0,0,0,0,0
Otu00319,0,0,0,0,0,0,0,0,0,0,0,0
Otu00320,0,0,0,0,0,0,0,0,0,0,0,0
Otu00321,0,0,0,0,0,0,0,0,0,0,0,0
Otu00322,0,0,0,0,0,0,0,0,0,0,0,0
Otu00323,0,0,0,0,0,0,0,0,0,0,0,0
Otu00324,0,0,0,0,0,0,0,0,0,0,0,0
Otu00325,24,0,0,0,0,0,0,0,0,0,0,0
Otu00326,0,0,0,0,0,0,0,0,0,0,0,0
Otu00327,0,0,0,0,0,0,0,0,0,0,0,0
Otu00328,0,7,0,0,0,0,0,0,0,0,0,1
Otu00329,0,0,0,0,21,0,0,0,0,0,0,0
Otu00330,0,0,0,0,0,4,0,0,0,0,0,0
Otu00331,0,0,0,0,0,0,0,0,0,0,0,0
Otu00332,0,0,0,0,0,2,0,0,0,0,0,0
Otu00333,0,0,0,0,0,0,0,0,0,0,0,0
Otu00334,0,0,0,0,0,0,0,0,0,0,0,0
Otu00336,0,0,0,0,0,0,0,0,0,0,0,0
Otu00337,0,0,0,0,0,0,0,0,0,0,0,0
Otu00338,0,0,11,0,0,0,0,0,0,0,0,0
Otu00339,0,0,0,0,0,0,0,0,0,0,0,0
Otu00340,0,0,0,0,0,0,0,0,0,0,0,0
Otu00341,0,0,0,0,0,0,0,0,0,0,0,1
Otu00342,0,0,0,0,0,0,0,0,0,0,0,0
Otu00344,0,0,0,0,0,0,0,0,0,0,0,0
Otu00345,0,0,0,0,0,0,0,0,0,0,0,0
Otu00346,0,0,0,0,0,0,0,0,0,0,0,0
Otu00347,0,4,0,0,0,0,0,0,0,0,0,0
Otu00348,0,0,0,0,0,0,0,0,0,0,0,0
Otu00349,0,0,0,0,0,0,0,0,0,0,0,0
Otu00350,0,0,0,0,0,0,0,0,0,0,0,0
Otu00351,21,0,0,0,0,0,0,0,0,0,0,0
Otu00352,0,0,0,0,0,0,0,0,0,0,0,0
Otu00353,0,0,0,0,0,0,0,0,0,0,0,0
Otu00354,0,0,0,0,0,0,0,0,0,0,0,0
Otu00355,0,0,0,0,0,0,0,0,0,0,0,0
Otu00356,0,0,0,0,0,0,0,0,0,0,0,0
Otu00357,0,0,0,0,0,0,0,0,0,0,0,0
Otu00359,0,0,0,0,0,0,0,0,0,0,0,0
Otu00360,0,0,0,0,0,0,0,0,0,0,0,0
Otu00361,0,0,0,0,0,0,0,0,0,0,0,0
Otu00363,0,0,0,0,0,0,0,0,0,0,0,0
Otu00364,0,0,0,0,0,0,0,0,0,1,0,0
Otu00365,0,0,4,0,0,0,0,0,0,0,0,0
Otu00366,0,0,6,0,0,0,0,0,0,0,0,0
Otu00367,0,0,0,0,0,0,0,0,0,0,0,0
Otu00368,0,0,0,0,0,0,0,0,0,0,0,0
Otu00369,0,0,0,0,0,0,0,0,0,0,0,0
Otu00370,0,0,0,0,0,0,0,0,0,0,0,0
Otu00371,0,0,0,0,0,0,0,0,0,0,0,0
Otu00372,0,0,0,0,0,0,0,0,0,0,0,0
Otu00373,0,0,0,0,0,0,0,0,0,0,0,0
Otu00374,0,0,0,0,0,0,0,0,0,1,0,0
Otu00375,0,0,0,0,0,0,0,0,0,1,0,0
Otu00376,0,2,0,0,0,0,0,0,0,0,0,0
Otu00377,0,0,0,0,0,0,0,0,0,0,0,0
Otu00378,0,0,0,0,0,0,0,0,0,0,0,0
Otu00379,0,0,0,0,0,0,0,0,0,0,0,0
Otu00380,0,0,0,0,0,0,0,0,0,0,0,0
Otu00381,0,0,0,0,0,0,0,0,0,0,0,0
Otu00383,0,0,0,0,0,0,0,0,0,0,0,0
Otu00384,0,0,0,0,0,0,0,0,0,0,0,0
Otu00386,0,0,0,0,0,0,0,0,0,0,0,0
Otu00388,0,0,0,0,0,0,0,0,0,0,0,0
Otu00389,0,0,0,0,0,0,0,0,0,0,0,0
Otu00390,0,0,0,0,0,0,0,0,0,0,0,0
Otu00391,0,0,2,0,0,0,0,0,0,0,0,0
Otu00392,0,0,0,0,0,0,0,0,0,0,0,0
Otu00394,0,0,0,0,0,0,0,0,0,0,0,0
Otu00396,0,0,0,0,0,0,0,0,0,0,0,0
Otu00397,0,0,0,0,0,0,0,0,0,0,0,0
Otu00398,0,0,0,0,0,0,0,0,0,0,0,0
Otu00399,0,0,0,0,0,0,0,0,0,0,0,0
Otu00400,0,1,0,0,0,0,0,0,0,0,0,0
Otu00401,0,0,0,0,0,0,0,0,0,0,0,0
Otu00402,0,0,0,0,0,0,0,0,0,0,0,0
Otu00403,0,0,0,0,0,0,0,0,0,0,0,0
Otu00404,0,0,0,0,0,0,0,0,0,0,0,0
Otu00405,0,0,0,0,0,0,0,0,0,0,0,0
