Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
ASV0065,0,0,0,0,0.468924972,0.075795856,0.04261969,0.083183142,0.085272262,0.058962264,0.196213608,0.040812162,0.114876508,0.580130529,0.036670334,0.062402496,0.040192926,0.153061224,0,0.128556736,0.09539384,0.015535187,0.028119508,1.037344398,0.208138204,0,0.176827862,0.341224142,0,0.531710134,0.149462868,0,0.56352459,0.064498295,0.272355878,0.322017979,0.34070062,0.34831647,0.124947938,0.274473925,0,0,0,0,0,0.414250207,0.00719321,0.022650057,0.06002401,0.009890219,0.105518624,0.087260035,0.198968979,0.010301844,0.159567088,0.087302357,0.029577048,0.073198787,0.150856867,0.705722127,0,0.144009217,0.109289617,0.021523892,0.159167169,0.25,0.414552212,0.298128766,0.115473441,0.069647804,0.038926915,0.017468775,0.097338017,0,0.136998813,0.013241525,0.191273162,0.198841532,0.120548961,0.036950363,0.034695719,0.248732421,0.222852512,0.120718274,0.103169363,0.230327207
ASV0068,0,0,0,0.049394912,0.027995521,0.025265285,0.014206563,0.013863857,0.036545255,0.058962264,0.10606141,0.030609122,0.086157381,0.362581581,0.018335167,0.015600624,0,0.012755102,0.053533191,0,0.027255383,0,0.028119508,0.334255417,0.041627641,0.190718373,0.007688168,0.042653018,0.145645208,0.137137908,0.009341429,0.062227754,0.495218579,0.055284253,0.181570586,0.040252247,0.10483096,0.082932493,0.055532417,0,0.059952038,0,0.068409625,0.17452007,0.150948143,0.662800331,0.00719321,2.265005663,0,0,0.021103725,0.048477797,0.054264267,0.010301844,0.041626197,0.116403143,0.155279503,0.209139391,0.18102824,0.262066404,0.046779978,0.417626728,0.081967213,0.021523892,0.434483352,0.263157895,0.285898077,0.469394228,0.284242317,0.107637515,0.126512473,0.039304743,0.143890981,0,0.136998813,0.154484463,0.812910938,0.095098124,0.139094955,0.024633576,0.045104434,0.315698842,0.587520259,0.437603742,0.350775834,0.111601843
ASV0073,0,0,0,0,0,0,0,0,0,0.005360206,0,0,0,0,0,0,0.010048232,0,0,0,0,0,0,0.172890733,0,0,0.007688168,0.010663254,0,0.038494851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021103725,0,0,0,0,0,0,0.209139391,0.271542361,0.136191989,0,0.403225806,0.396174863,0.301334481,0.038716338,1.973684211,0.786219713,1.06565176,0,0.381480016,0.544976806,0.628875884,0,0.371747212,0.776326605,0.379590395,0,0.337166076,0.584198813,0.640472965,0,0.162632737,0.263371151,0.324430361,0,0
ASV0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0076,0,0,0,0,0,0.012632643,0,0,0,0,0,0,0,0,0,0,0.070337621,0,0,0,0,0,0,0.115260489,0,0,0,0.010663254,0,0,0,0,0.017076503,0,0,0,0.017471827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041626197,0,0,0.397364844,0.398262129,0.433338148,0,0.043202765,0.136612022,0.301334481,0.004301815,0.5,0.128654135,1.725340945,0,0.250098932,0.480098615,0.454188139,0,0.966542751,0.803726368,0.247175141,0,0.501426472,0.973664688,0.517305087,0,0.267865684,0.425445705,0.324430361,0,0
ASV0088,0,0,0,0,0.041993281,0.012632643,0,0.013863857,0.109635766,0.005360206,0.053030705,0.051015203,0,0,0.036670334,0,0.010048232,0.051020408,0,0.068563593,0.190787681,0,0.105448155,0.069156293,0.208138204,0.063572791,0.084569847,0.053316272,0.203903292,0.091425272,0.056048575,0,0.281762295,0.101354464,0,0.073795787,0.008735913,0.033172997,0.083298626,0,0,0,0.124921924,0.17452007,0.641529608,0.828500414,0.00719321,0.13590034,0,0.009890219,0.073863037,0.009695559,0.036176178,0.010301844,0,0.009700262,0.073942621,0.01045697,0.024137099,0.03301624,0.031186652,0,0,0,0.210788953,0,0,0.019029496,0.293124889,0.136129798,0.029195186,0,0.313174489,0,0.036533017,0.030896893,1.279139271,0.034581136,0.037091988,0,0.117965443,0.028699895,0.060777958,0.067904029,0.462198745,0.049864653
ASV0090,0,0,0,0,0.643896976,0.530570995,0.298337832,0,0,0.016080617,0.031818423,0,0.057438254,0,0,4.352574103,0.693327974,1.135204082,0,0,0,0,0.007029877,0.034578147,0,0,0,0,0,0.019247426,0,0,0,0.08292638,0.136177939,0,0.008735913,0.0033173,0,0,0.71942446,0,0.065435293,0.523560209,0.572345042,0,0,0,0,0.019780437,0.105518624,0.038782238,0.126616623,0.020603688,0.111003191,0.077602095,0,0.073198787,0.120685494,0.150636594,0,0.028801843,0.054644809,0.043047783,0,0.171052632,0.078621971,0.145892801,0,0,0,0,0,0,0.018266508,0.022069209,0,0.08645284,0.09272997,0.049267151,0,0.325265474,0.303889789,0.128263166,0,0.021370566
ASV0107,0,0,0.030921459,0,0.083986562,0.012632643,0.04261969,0.235685568,0.048727007,0.058962264,0.084849128,0.061218243,0,0,0.091675834,0.015600624,0.010048232,0,1.623840114,0.017140898,0.163532298,0,0.499121265,0.057630244,0.124882922,0.254291163,0.007688168,0,1.660355374,0,0.018682858,0.622277536,0.025614754,0.073712338,0.544711757,0,0,0.009951899,0,0.365965233,0.299760192,0,0.205228875,1.396160558,1.566086984,0.497100249,0,0,0,0.039560874,0.010551862,0.009695559,0.009044044,0.092716596,0,0,0.059154096,0,0.006034275,0,0,0,0,0,0,0,0,0,0,0,0.00324391,0,0,0,0,0,0,0,0,0,0,0.028699895,0.01012966,0,0.012380324,0.002374507
ASV0109,0.059241706,0.036873156,0.154607297,0.074092368,0.01399776,0.012632643,0,0.027727714,0,0.016080617,0.00530307,0,0.028719127,0.036258158,0,0.031201248,0.010048232,0,0,0.008570449,0,0.046605562,0.035149385,0.069156293,0.093662192,0.063572791,0.030752672,0,0.058258083,0,0,0.186683261,0.025614754,0.009214042,0,0.006708708,0.008735913,0,0,0.182982617,0,0.009704969,0.026768984,0.261780105,0.050316048,0,0,5.605889015,0.06002401,0.009890219,0,0.029086678,0.054264267,0.010301844,0,0,0,0,0.012068549,0,0,0,0.013661202,0,0,0,0,0,0,0,0,0,0.008464175,0,0,0,0,0,0,0,0,0,0.020259319,0,0,0
ASV0120,0.207345972,0.036873156,0.494743352,0,0.209966405,0.189489641,0.142065634,0.083183142,0.048727007,0,0.015909211,0.081624324,0.028719127,0,0.110011001,0.249609984,0.351688103,0.076530612,0.017844397,0.171408982,0.354319978,0.233027808,0.196836555,0.242047026,0.02081382,0.381436745,0.076881679,0.223928343,0.058258083,0.007217785,0.074731434,0.062227754,0.093920765,0.156638717,1.13481616,0.03354354,0.02620774,0.056394095,0.111064834,0,0,0,0.014871658,0,0.138369131,0.082850041,0,0.226500566,0.120048019,0.237365246,0.04220745,0.038782238,0.018088089,0.236942413,0.006937699,0.077602095,0.081336883,0.083655757,0.024137099,0.02063515,0.873226259,0.144009217,0.327868852,0.064571675,0,0.171052632,0.014294904,0.031715826,0,0,0.00324391,0,0,0,0.018266508,0,0,0.103743408,0.064910979,0,0.010408716,0.105232947,0.253241491,0.090538705,0.416804226,0.004749015
