Group,L0_G,L1_G,L8_G,L9_G,L10_G,L12_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_2_G
Otu00082,0,0,0,0,0,0,0,0,0,0,0.009486425,0.000977517,0.002935421,0.000327118,0.00195631,0.000328084
Otu00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00084,0,0,0.00195122,0.000976563,0.001302083,0,0,0.00195122,0.000488281,0.012695313,0,0,0,0,0,0
Otu00085,0,0,0,0,0,0,0.003917728,0,0,0,0,0,0.000325521,0.000978479,0.002281831,0.000646758
Otu00086,0.001631109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00088,0.001630791,0.000988142,0.00097561,0.001953125,0.001302722,0,0,0.000977521,0.000488281,0,0.000652639,0,0,0,0,0.000318674
Otu00089,0.001630791,0.000988142,0.00195122,0.000976563,0.001627606,0,0,0.000977521,0.000488281,0.000976563,0.000652639,0,0,0,0,0
Otu00090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00091,0,0,0,0,0,0,0,0,0,0,0.001962709,0.005870841,0.005215341,0.000981354,0.000326158,0.000956023
Otu00092,0,0,0,0,0.000976563,0,0,0,0,0,0,0.000977517,0,0.000326158,0,0.001630789
Otu00093,0,0,0,0,0,0,0,0,0,0,0,0.007333291,0.000976563,0,0.001304631,0.000318674
Otu00094,0,0,0,0,0,0,0,0,0,0,0.002615663,0.000488759,0,0.002604495,0.001303994,0.001956947
Otu00095,0.000978155,0.000988142,0.006829268,0,0.000650407,0,0,0,0,0,0.002278646,0.001466276,0.000651042,0,0,0.001593372
Otu00096,0.000978474,0.000988142,0.00195122,0.000976563,0.001302085,0,0,0.000977521,0.000488281,0.000976563,0.000652639,0,0,0,0,0
Otu00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00099,0,0,0,0,0,0,0,0,0,0,0.004252535,0,0.00913242,0.002602581,0.000651679,0
Otu00100,0.005871482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00101,0.000978474,0.000988142,0.00097561,0.000976563,0.000976882,0,0,0.000977521,0.000488281,0,0.000325521,0,0,0,0,0
Otu00102,0.000978474,0.000988142,0,0.000976563,0.000651361,0,0,0.000977521,0.000488281,0.000976563,0,0,0,0,0,0
Otu00103,0,0,0,0,0,0,0,0,0,0.005859375,0,0,0,0,0,0
