Group,Day 1,Day 2,Day 3,Day 4
ASV000045,64.0,11.333333333333334,25.0,7.666666666666667
ASV000046,0.0,0.0,0.0,0.0
ASV000047,26.666666666666668,21.333333333333332,0.66666666666666663,7.666666666666667
ASV000048,68.333333333333329,0.0,0.33333333333333331,28.333333333333332
ASV000049,88.0,1.6666666666666667,0.0,0.0
ASV000050,17.333333333333332,33.666666666666664,33.333333333333336,27.333333333333332
ASV000051,0.0,0.0,0.0,0.0
ASV000052,0.0,11.666666666666666,0.0,0.0
ASV000053,13.333333333333334,1.3333333333333333,0.0,30.0
ASV000054,0.0,0.0,0.0,0.0
ASV000055,0.0,0.0,21.666666666666668,0.0
ASV000056,0.0,0.0,0.0,0.0
ASV000057,0.0,0.0,0.0,0.0
ASV000058,49.333333333333336,0.0,0.0,0.0
ASV000059,30.666666666666668,0.0,26.666666666666668,24.0
ASV000060,6.333333333333333,0.0,0.0,0.0
ASV000061,8.6666666666666661,0.33333333333333331,0.0,0.0
ASV000062,0.0,0.0,0.0,0.0
ASV000063,0.0,3.3333333333333335,51.333333333333336,10.666666666666666
ASV000064,5.0,4.0,0.0,40.0
ASV000065,0.0,0.0,0.0,0.0
ASV000066,0.0,0.33333333333333331,0.0,0.0
ASV000067,0.0,0.0,0.0,0.0
ASV000068,0.0,0.0,0.0,0.0
ASV000069,13.0,0.66666666666666663,0.0,3.6666666666666665
ASV000070,0.0,217.0,0.0,0.0
ASV000071,0.0,0.0,0.0,0.0
ASV000072,42.0,0.0,0.0,32.333333333333336
ASV000073,0.0,0.0,0.0,0.0
ASV000074,0.0,0.0,0.0,0.0
ASV000075,0.0,0.0,0.0,0.0
ASV000076,0.0,5.0,0.0,0.0
ASV000077,0.33333333333333331,220.33333333333334,0.0,0.0
ASV000078,9.6666666666666661,25.666666666666668,0.0,0.0
ASV000079,0.0,0.0,0.0,0.0
ASV000080,0.0,0.0,6.333333333333333,0.0
ASV000081,0.0,0.0,0.0,0.0
ASV000082,0.0,0.0,0.0,0.0
ASV000083,0.0,0.0,0.0,0.0
ASV000084,63.0,0.0,14.0,4.333333333333333
ASV000085,19.666666666666668,0.0,0.0,0.0
ASV000086,53.666666666666664,11.0,2.6666666666666665,0.0
ASV000087,0.0,5.0,0.0,0.0
ASV000088,0.0,0.0,0.0,0.0
ASV000089,0.0,24.333333333333332,0.0,0.0
ASV000090,0.0,0.0,0.0,23.333333333333332
ASV000091,0.0,0.0,0.0,0.0
ASV000092,46.666666666666664,0.0,0.0,0.0
ASV000093,0.0,0.0,0.0,0.0
ASV000094,0.0,15.0,0.0,0.0
ASV000095,0.0,0.0,0.0,0.0
ASV000096,0.0,153.66666666666666,0.0,0.0
ASV000097,0.0,0.0,0.0,0.0
ASV000098,78.666666666666671,0.0,0.0,5.666666666666667
ASV000099,0.0,0.0,0.0,0.0
ASV000100,0.0,0.0,0.0,0.0
ASV000101,0.0,0.0,0.0,0.0
ASV000102,0.0,0.0,0.0,0.0
ASV000103,0.0,0.0,0.0,0.0
ASV000104,0.0,0.33333333333333331,65.333333333333329,34.0
ASV000105,0.0,0.0,0.0,0.0
ASV000106,0.0,0.0,0.0,0.0
ASV000107,33.0,0.0,0.33333333333333331,9.6666666666666661
ASV000108,0.0,0.0,0.0,0.0
ASV000109,9.6666666666666661,0.0,0.0,0.0
ASV000110,0.0,0.0,0.0,0.0
ASV000111,0.0,0.0,0.0,0.0
ASV000112,0.0,0.0,0.0,0.0
ASV000113,0.0,0.0,1.6666666666666667,0.66666666666666663
ASV000114,1.3333333333333333,0.0,0.0,0.0
ASV000115,0.0,0.0,0.0,0.0
ASV000116,0.0,0.0,0.0,0.0
ASV000117,0.0,0.0,0.0,0.0
ASV000118,0.0,6.666666666666667,0.0,0.0
ASV000119,0.0,0.0,0.0,0.0
ASV000120,0.0,0.0,0.0,0.0
ASV000121,0.0,0.0,0.0,0.0
ASV000122,0.0,0.0,0.0,0.0
ASV000123,0.0,0.0,0.0,0.0
ASV000124,11.0,1.3333333333333333,1.0,0.0
ASV000125,0.0,0.0,0.0,0.0
ASV000126,0.0,0.0,0.0,0.0
ASV000127,0.0,0.0,0.0,0.0
ASV000128,1.6666666666666667,0.0,0.0,0.0
ASV000129,0.0,0.0,0.0,0.0
ASV000130,0.0,0.0,0.0,0.0
ASV000131,0.0,0.0,0.0,60.666666666666664
ASV000132,0.0,0.0,0.0,0.0
ASV000133,70.333333333333329,0.0,0.0,0.0
ASV000134,0.0,0.0,0.0,0.0
ASV000135,0.0,10.333333333333334,0.0,0.0
ASV000136,0.0,0.0,0.0,0.0
ASV000137,15.0,0.0,0.0,0.0
ASV000138,0.0,0.0,0.0,0.0
ASV000139,0.0,0.0,0.0,0.0
ASV000140,39.0,0.0,0.0,0.0
ASV000141,0.0,0.0,0.0,0.0
ASV000142,0.0,0.0,0.0,0.0
ASV000143,0.0,0.0,0.0,37.666666666666664
ASV000144,0.0,0.0,0.0,0.0
ASV000145,0.0,0.0,0.0,0.0
ASV000146,0.0,0.0,0.0,0.0
ASV000147,0.0,0.0,0.0,0.33333333333333331
ASV000148,0.0,0.0,0.0,0.0
ASV000149,0.0,2.3333333333333335,0.0,0.0
ASV000150,0.0,0.0,0.0,0.0
ASV000151,0.0,0.0,0.0,0.0
ASV000152,0.0,0.0,0.0,0.0
ASV000153,0.0,0.0,0.0,0.0
ASV000154,24.333333333333332,0.0,0.0,0.0
ASV000155,0.0,0.0,0.0,0.0
ASV000156,0.0,0.0,0.0,0.0
ASV000157,0.33333333333333331,0.0,0.0,0.0
ASV000158,40.333333333333336,0.0,0.0,0.0
ASV000159,0.0,0.0,0.0,0.0
ASV000160,22.666666666666668,0.33333333333333331,0.0,0.0
ASV000161,0.0,0.0,0.0,0.0
ASV000162,0.0,0.0,0.0,0.0
ASV000163,0.0,0.0,0.0,0.0
ASV000164,0.0,0.0,0.0,38.333333333333336
ASV000165,0.0,0.0,0.0,0.0
ASV000166,0.0,57.666666666666664,0.0,0.0
ASV000167,0.0,0.0,0.0,0.0
ASV000168,0.0,0.0,0.0,0.0
ASV000169,0.33333333333333331,0.0,0.0,0.0
ASV000170,0.0,0.0,0.0,0.0
ASV000171,0.0,0.0,0.0,13.333333333333334
