Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Day 1,Day 2,Day 3,Day 4
ASV00033,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,NA,2.1118721461187215,1.5722845428477392,0.0,0.0
ASV00038,Eukaryota,Cercozoa,Glissomonadida,NA,NA,NA,NA,0.8088596277404697,0.024277737314882253,0.0,0.03680877428305966
ASV00039,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,NA,NA,0.5891415655123701,0.03462868076464822,0.019656762682392078,0.012788092286457239
ASV00040,Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Urospora,NA,2.901298324636049,0.048555474629764506,0.0,0.024754501612914318
ASV00045,Eukaryota,Cercozoa,NA,NA,NA,NA,NA,0.9445200693294082,0.221483942414175,0.0391936176424021,0.006762696963549063
ASV00047,Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,NA,NA,0.22262530430287872,0.7544175210015238,0.0017041145846646729,0.008892806879166085
ASV00048,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,NA,0.5904791338159034,0.0,0.0006436124680607313,0.032864721075179015
ASV00049,Eukaryota,MAST-12,MAST-12A,NA,NA,NA,NA,1.157956598246597,0.12138868657441126,0.0,0.0
ASV00050,Eukaryota,Protalveolata,Perkinsidae,Perkinsidae_or,Perkinsidae_fa,Parvilucifera,NA,0.14305112711771723,0.5690279915251717,0.07546067261477381,0.03295492023240059
ASV00058,Eukaryota,Phragmoplastophyta,Embryophyta,Liliopsida,Zingiberales_fa,Musa,NA,0.8447488584474886,0.0,0.0,0.0
ASV00070,Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,NA,NA,0.0,4.240766073871409,0.0,0.0
ASV00078,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,NA,0.08497791789760788,0.5015959872321022,0.0,0.0
ASV00084,Eukaryota,Opisthokonta_ph,Aphelidea,Aphelidea_or,Aphelidea_fa,NA,NA,0.5012604146181714,0.0,0.02116882135026839,0.006425941029633475
ASV00092,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Dileptus,NA,0.7990867579908675,0.0,0.0,0.0
ASV00098,Eukaryota,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Hyphodontia,NA,1.3470319634703196,0.0,0.0,0.008403153654136082
ASV00133,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,NA,1.2043378995433789,0.0,0.0,0.0
ASV00177,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA,0.565068493150685,0.0,0.0,0.0
ASV00184,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,NA,0.0,0.9901635072633704,0.0,0.0
ASV00191,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,0.8789954337899544,0.0,0.0,0.0
ASV00221,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,0.7591324200913242,0.0,0.0,0.0
ASV00282,Eukaryota,Cercozoa,NA,NA,NA,NA,NA,0.565068493150685,0.0,0.0,0.0
ASV00530,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleospora,NA,0.032194454505211474,0.8254430687059965,0.0,0.0
ASV00675,Eukaryota,Phragmoplastophyta,Embryophyta,Rosales,Rosales_fa,Morus,NA,0.0,0.7040543821315853,0.0,0.0
