Sample_ID,treatment0,treatment1,treatment2_daily_r,treatment3_daily,treatment4_LG,treatment5_RG,treatment6_beg_end,treatment7_beginning,treatment8_beg_end,treatment9_long_GR,treatment10_short_GR,treatment11_beg_end_S,treatment12_LS,coverage,nseqs,bergerparker,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci
L18_9,L18_G,R,,,,R,G_end,L20_G,L20_G,R,,,,0.955514,1079,0.308619,182.2,142.292208,267.234805,2.866241,2.751903,2.980579
L18_A,L18_L,L,,,L,,L_end,L20_L,,,,,,0.943193,1021,0.15573,312.625,198.259314,568.759679,3.336831,3.247582,3.42608
L18_B,L18_R,R,,,,R,R_end,L20_R,,R,,,,0.95098,1020,0.263725,157.25,125.744643,222.125654,2.738622,2.632882,2.844362
L19_8,L19_G,G,,,G,G,G_end,L20_G,L20_G,G,,,G,0.950962,1040,0.278846,172.954545,143.463919,232.99954,3.207075,3.101099,3.313051
L19_A,L19_L,L,,,L,,L_end,L20_L,,,,,,0.951581,1012,0.296443,182,137.341512,277.352538,2.824402,2.717385,2.931419
L19_B,L19_R,R,,,,R,R_end,L20_R,,R,,,,0.927579,1008,0.207341,284.25,204.855077,437.931034,3.05857,2.954054,3.163085
L1_7,L1_G,G,,,G,G,G_beg,L0_G,L0_G,G,,L0_G,G,0.747899,833,0.157263,1241.130435,877.47834,1828.741372,4.617746,4.500463,4.735029
L1_8,L1_G,G,,,G,G,G_beg,L0_G,L0_G,G,,L0_G,G,0.908173,1089,0.126722,408,310.249365,580.840886,4.020691,3.928598,4.112784
L1_9,L1_G,G,,,G,G,G_beg,L0_G,L0_G,G,,L0_G,G,0.773109,1190,0.145378,1396.571429,1051.139436,1914.401142,4.434903,4.320803,4.549003
L1_A,L1_L,L,,,L,,L_beg,L0_L,,,,,,0.734021,970,0.164948,1705.375,1197.448312,2508.670649,4.393967,4.268617,4.519318
L1_B,L1_R,R,,,,R,R_beg,L0_R,,R,,,,0.807921,1010,0.162376,738.738095,586.87133,969.086536,4.45901,4.346599,4.571422
L20_7,L20_G,G,,,,G,G_end,L20_G,L20_G,G,,,G,0.956438,1033,0.440465,177,127.16286,288.678866,2.323596,2.205437,2.441756
L20_8,L20_G,G,,,G,G,G_end,L20_G,L20_G,G,,,G,0.95311,1045,0.441148,172.5,133.88475,253.85993,2.539859,2.42092,2.658798
L20_9,L20_G,G,,,G,G,G_end,L20_G,L20_G,G,,,G,0.967868,1027,0.42259,110.789474,94.790531,148.497887,2.391616,2.274575,2.508657
L20_A,L20_L,L,,,L,,L_end,L20_L,,,,,,0.940154,1036,0.32722,379.142857,227.875384,722.896342,3.042827,2.934221,3.151432
L20_B,L20_R,R,,,,R,R_end,L20_R,,R,,,,0.926295,1004,0.24502,277.882353,201.900339,423.505413,3.027489,2.922275,3.132703
L2_A,L2_L,L,,,L,,L_beg,L0_L,,,,,,0.927412,1047,0.589303,297.125,211.674009,461.366925,2.218362,2.082249,2.354475
L2_B,L2_R,R,,,,R,R_beg,L0_R,,R,,,,0.909251,1135,0.170044,444.65,329.50202,649.688662,3.772032,3.66979,3.874274
L3_7,L3_G,G,,,G,G,,,,G,,,G,0.938596,1140,0.102632,362.25,260.152546,569.477281,4.167918,4.090451,4.245386
