Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
ASV0494,0,0,0,0,0.00699888,0,0,0,0.012181752,0.016080617,0.00530307,0.010203041,0,0,0.018335167,0,0.060289389,0.038265306,0,0.025711347,0,0.015535187,0,0,0,0,0,0.031989763,0,0.081801559,0,0,0.12807377,0.036856169,0,0,0.02620774,0.0033173,0.027766209,0,0,0,0,0,0,0.331400166,0.136670983,0,0,0,0.021103725,0.009695559,0.027132133,0,0,0,0,0.01045697,0,0,0.015593326,0,0,0,0,0,0,0,0,0.001582905,0,0,0,0,0,0,0,0,0,0,0,0.019133263,0,0,0,0
ASV0495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038716338,0,0,0,0,0,0,0,0,0,0.009133254,0,0,0,0,0,0.020817431,0,0,0,0,0
ASV0506,0,0,0,0,0,0,0,0,0,0,0.00530307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046129007,0,0,0.141949764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030075188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0512,0.029620853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203903292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0516,0.029620853,0,0,0,0,0,0,0.013863857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014059754,0,0.062441461,0,0,0,0,0,0.046707146,0,0,0.027642127,0,0,0,0,0,0,0,0,0,0,0.003144753,0,0,0,0,0,0,0,0,0,0,0,0.650695061,0,0,0,0.046779978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021442356,0.006343165,0,0.025326474,0,0,0,0,0,0,0.04781829,0,0,0,0,0,0,0,0.012380324,0
ASV0522,0.029620853,0,0.030921459,0,0.00699888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063572791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014871658,0,0.053460801,0,0,0.475651189,0.420168067,0,0.073863037,0,0.235145157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009700262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017411951,0,0.034937549,0.008464175,0,0,0,0,0,0,0,0.013878287,0,0,0,0,0
ASV0543,0,0,0,0,0.00699888,0.012632643,0,0,0,0,0.015909211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063572791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012696263,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006937699,0,0,0,0,0,0,0.014400922,0,0,0,0,0,0,0,0,0,0.052406324,0.016928351,0,0,0,0.119545726,0,0,0,0,0,0,0,0,0.011872536
ASV0547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006634599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004301815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0554,0,0,0,0,0,0,0,0,0,0,0.00530307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015376336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009044044,0,0,0,0.014788524,0,0,0,0,0,0,0,0,0,0.021442356,0,0,0.028492283,0.009731729,0,0,0,0.009133254,0,0,0,0,0,0,0,0,0,0,0.023745073
ASV0556,0.029620853,0.036873156,0.030921459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002974332,0,0.015723765,0,0.043159258,0.962627407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002374507
ASV0568,0,0,0,0,0,0,0,0,0,0.005360206,0,0,0,0,0,0,0,0,0,0,0,0,0.541300527,0,0.031220731,0,0,0,0,0,0.009341429,0.186683261,0,0,0.045392646,0,0,0,0.027766209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073942621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017765145,0.001582905,0.00324391,0,0,0,0.018266508,0,0.011954573,0,0,0,0,0,0,0,0.004126775,0
ASV0581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0588,0.029620853,0.036873156,0.278293135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021653354,0,0.622277536,0,0,0.045392646,0,0,0,0,0.091491308,0.299760192,0,0.041640641,0,0.006289506,0.165700083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043018154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025326474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0613,0,0,0,0,0,0,0,0,0,0,0,0.010203041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045392646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013875399,0.019400524,0,0.020913939,0.048274197,0,0,0,0.013661202,0,0,0.039473684,0,0.01268633,0,0.012663237,0.012975638,0,0,0,0.091332542,0,0,0.095098124,0.129821958,0.135484666,0,0.028699895,0.01012966,0.030179568,0,0
ASV0615,0,0,0,0,0,0,0,0,0,0.010720412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006487819,0,0.038088789,0,0,0,0,0,0,0,0,0,0,0,0.016507098,0.007123522
ASV0623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010551862,0,0,0,0,0.009700262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008827684,0,0,0,0,0.176948165,0,0,0,0,0
ASV0625,0.088862559,0,0.061842919,0.049394912,0.034994401,0,0.04261969,0,0,0,0,0.020406081,0,0,0.165016502,0.015600624,0.040192926,0.012755102,0.017844397,0.025711347,0.136276915,0,0.056239016,0.034578147,0.01040691,0,0,0.031989763,0,0,0,0.062227754,0.093920765,0.009214042,0,0.020126124,0.034943653,0.006634599,0,0,0,0,0,0,0.003144753,0,0,0,0,0,0,0.009695559,0,0,0.006937699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041627641,0,0,0,0.029129042,0,0,0,0,0.027642127,0,0,0,0,0.013883104,0,0,0,0,0,0.006289506,0,0,0,0,0,0,0,0,0,0,0,0.022182786,0,0,0.006190545,0,0.043202765,0,0,0.004301815,0,0.021442356,0.031715826,0,0.036406806,0.019463457,0.061140711,0,0,0,0.013241525,0,0.008645284,0.009272997,0,0,0.019133263,0.020259319,0,0.020633873,0
ASV0636,0,0,0,0,0,0,0,0.083183142,0,0,0,0.112233446,0,0,0.055005501,0,0,0,0.035688794,0,0,0,0.021089631,0,0.114476012,0,0,0,0,0,0.168145726,0,0,0.08292638,0,0,0,0,0.09718173,0,0,0,0,0,0,0,0.00719321,0,0,0.009890219,0,0,0,0.123622128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414250207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397903727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009700262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008253549,0
ASV0670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013875399,0.019400524,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0.022206431,0.023743569,0.032439096,0.004367194,0,0,0,0.004413842,0,0,0,0,0,0,0,0,0,0
ASV0676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0686,0,0,0,0,0.020996641,0.012632643,0.071032817,0,0.012181752,0,0,0,0,0,0,0.07800312,0.281350482,0.051020408,0,0.008570449,0,0.031070374,0,0,0,0,0.007688168,0,0,0,0,0,0.008538251,0,0,0,0,0.0033173,0,0,0,0,0.002974332,0,0.040881789,0,0,0,0,0,0,0,0,0,0,0.038801048,0,0,0.006034275,0,0,0,0,0,0,0,0.014294904,0.006343165,0,0,0,0,0,0,0,0,0,0.008645284,0,0,0,0,0,0,0,0
ASV0705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006634599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006937699,0.009700262,0,0,0,0,0,0,0,0,0.030112708,0,0,0.025372661,0,0.011080332,0.016219548,0.030570355,0.016928351,0,0,0,0.023909145,0,0,0,0,0,0,0,0,0
ASV0709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007394262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0730,0,0,0,0,0,0,0,0,0,0.021440823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011526049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06795017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080409666,0,0,0,0,0,0,0,0,0,0,0,0,0
