Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples
K01183,L12_9,275246,3,5.148658448,15.44597534,1,0.005147012
K01183,L12_B,797229,1,0.018335167,0.018335167,0.012658228,6.11E-06
K01183,L12_B,275246,3,0.366703338,1.100110014,0.75949367,0.000366586
K01183,L12_B,208171,3,0.110011002,0.330033006,0.227848102,0.000109976
K01183,L13_7,939811,3,0.031201248,0.093603744,0.75,3.12E-05
K01183,L13_7,746675,2,0.015600624,0.031201248,0.25,1.04E-05
K01183,L13_8,275246,3,0.341639872,1.024919616,0.62962963,0.000341531
K01183,L13_8,939811,3,0.160771704,0.482315112,0.296296296,0.00016072
K01183,L13_8,1010927,3,0.040192926,0.120578778,0.074074074,4.02E-05
K01183,L13_9,974121,2,0.012755102,0.025510204,0.039215686,8.50E-06
K01183,L13_9,797229,1,0.012755102,0.012755102,0.019607843,4.25E-06
K01183,L13_9,275246,3,0.025510204,0.076530612,0.117647059,2.55E-05
K01183,L13_9,939811,3,0.076530612,0.229591836,0.352941176,7.65E-05
K01183,L13_9,1010927,3,0.076530612,0.229591836,0.352941176,7.65E-05
K01183,L13_9,208171,3,0.025510204,0.076530612,0.117647059,2.55E-05
K01183,L13_B,275246,3,0.035688794,0.107066382,1,3.57E-05
K01183,L14_7,797229,1,0.008570449,0.008570449,0.011764706,2.86E-06
K01183,L14_7,275246,3,0.239972574,0.719917722,0.988235294,0.000239896
K01183,L14_8,922761,1,0.013627691,0.013627691,0.014925373,4.54E-06
K01183,L14_8,275246,3,0.245298446,0.735895338,0.805970149,0.00024522
K01183,L14_8,939811,3,0.054510766,0.163532298,0.179104478,5.45E-05
K01183,L14_9,275246,3,0.248562996,0.745688988,0.88888889,0.000248484
K01183,L14_9,939811,3,0.031070374,0.093211122,0.11111111,3.11E-05
K01183,L14_B,275246,3,0.084358524,0.253075572,0.571428571,8.43E-05
K01183,L14_B,208171,3,0.063268893,0.189806679,0.428571429,6.32E-05
K01183,L16_9,797229,1,0.023052098,0.023052098,0.001282874,7.68E-06
K01183,L16_9,275246,3,4.933148916,14.79944675,0.823604875,0.004931571
K01183,L16_9,939811,3,1.037344398,3.112033194,0.173187941,0.001037013
K01183,L16_9,4481782,3,0.011526049,0.034578147,0.00192431,1.15E-05
K01183,L16_B,797229,1,0.031220731,0.031220731,0.037037038,1.04E-05
K01183,L16_B,275246,3,0.270579664,0.811738992,0.962962962,0.000270493
K01183,L1_7,4424725,1,0.063572791,0.063572791,0.25,2.12E-05
K01183,L1_7,316869,3,0.063572791,0.190718373,0.75,6.36E-05
K01183,L17_8,922761,1,0.046129008,0.046129008,0.005235602,1.54E-05
K01183,L17_8,797229,1,0.061505343,0.061505343,0.006980803,2.05E-05
K01183,L17_8,275246,3,2.53709541,7.61128623,0.863874345,0.002536284
K01183,L17_8,646549,1,0.030752672,0.030752672,0.003490401,1.02E-05
K01183,L17_8,939811,3,0.276774044,0.830322132,0.094240837,0.000276686
