Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
Otu000024,0,0,0,0,15,4,6,0,0,4,12,0,4,0,0,1,8,3,0,0,2,1,0,45,0,0,18,16,0,31,1,0,19,0,0,5,8,22,0,0,0,0,1,0,0,0,2,54,0,3,6,1,8,0,82,68,0,181,67,268,0,68,31,153,7,11,78,312,0,1442,1396,445,0,8,203,248,0,90,149,62,0,102,153,60,0,351
Otu000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,13,3,0,2,0,1421,0,0,0,0,0,1,2,3,0,9,10,4,0,2,6,2,0,11,47,50,1,1778,1178,595,0,18,233,497,0,74,139,79,0,25,14,33,0,3
Otu000026,0,0,1,0,0,0,0,0,0,3,7,0,1,0,0,0,3,5,0,0,0,0,0,7,0,2,4,10,0,140,1,0,65,0,2,3,14,57,0,0,5,0,12,1,21,0,0,3,25,0,10,18,8,0,82,23,0,91,178,1638,0,523,115,132,167,169,95,188,0,694,235,250,20,11,84,261,10,18,20,46,0,35,5,16,10,94
Otu000027,0,0,0,0,2,0,0,599,1,1,1,640,0,0,154,0,0,0,101,0,0,0,82,0,13,3,0,0,0,0,19,9,0,2,58,0,0,0,1,22,0,0,6,0,0,18,0,0,0,0,0,0,0,584,0,0,42,0,0,0,2,0,0,0,91,1,0,0,809,0,0,0,1072,0,0,3,41,0,0,0,1255,0,0,0,61,0
Otu000028,0,0,0,2,24,41,38,0,4,228,166,1,37,29,0,43,24,189,0,55,31,19,6,142,6,0,42,52,0,1817,1,0,587,6,0,73,25,179,3,0,0,0,20,1,33,0,0,0,1,7,9,1,1,1,51,31,4,43,40,196,0,58,12,10,18,23,31,52,0,118,74,29,6,3,20,73,0,4,8,12,7,23,6,30,3,59
Otu000029,0,0,0,0,311,146,102,11,6,6,50,0,5,0,0,1105,273,402,2,1,0,1,0,3,4,1,0,0,0,0,0,2,0,16,6,0,2,0,7,0,0,0,129,1,725,0,1,0,1,6,45,0,15,3,29,20,0,17,47,258,0,10,9,7,1,48,35,107,0,28,25,39,0,3,5,9,0,84,54,26,0,161,54,70,0,41
Otu000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,7,2,0,77,4,0,17,5,0,2,2,7,4,0,2,0,20,1,0,0,2,0,1,0,0,0,0,0,21,17,47,142,25,434,7,52,233,271,122,206,304,761,42,136,93,52,5,1,13,55,3,126,154,37,17,152,346,96,39,51
Otu000031,1,0,0,2,3,1,0,0,5,9,3,0,3,0,0,3,5,3,0,2,4,1,0,7,1,0,3,4,0,28,0,0,1,3,1,0,4,9,0,0,0,0,653,1,53,5,0,0,0,0,2,0,1,2,577,151,4,0,220,76,0,52,56,19,10,117,231,118,0,119,38,47,0,17,48,20,0,189,170,95,0,98,20,200,0,670
Otu000032,3,0,0,0,77,117,19,2,121,160,123,9,31,32,1,20,18,59,17,28,21,25,119,56,253,0,105,122,2,166,0,0,115,0,1,314,380,943,0,1,7,0,68,1,61,0,2,0,9,1,127,123,73,1,4,3,19,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Otu000033,2,2,1,0,11,7,0,14,15,5,17,4,0,0,11,3,0,3,20,0,0,6,55,14,8,44,0,0,0,0,4,12,0,13,3,0,0,0,0,1,0,0,786,8,112,0,0,0,0,1,67,6,2,0,22,11,107,1,0,0,3,0,0,1,72,0,0,0,327,0,0,5,1549,0,0,0,98,0,1,0,379,0,0,0,80,10
