Group,L0_G,L1_G,L8_G,L9_G,L10_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L18_R,L20_R,S16_R,S17_R,S20_R
Otu000069,0,0,0,0,0,0,0,0,0,0.24219591,0.2209634,0,0.035732938,0.002868617,0.004494281,0,0,0,0,0,0,0,0,0,0,0,0,0.925152202,0.431547619
Otu000070,0,0,0,0,0,0,0,0.157545605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000071,0.342465753,0.04255621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191657272,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000072,0,0,0,0,0,0,0,0,0,0.262378902,0,0.630135294,0.093455375,0,0.035954248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000073,0,0.04255621,0,0,0,0,0,0,0.016963528,0,0.020087582,0,0.013743438,0.088927137,0,0.186020293,0,0,0,0,0.02199824,0,0.021319689,0,11.5970516,0,0,0,0
Otu000074,0,0,0,0,0,0,0,0.149253731,0,0.27583423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399367918,0,0
Otu000075,0,0,0,0,0,0,0,0,0,0,0.920011249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000076,0.00725563,0,0.191864927,0.09718173,0.018647671,0,0.118457894,0.102266446,0.033927057,0,0,0,0,0,0,0.005636979,0.142765513,1.256414794,0.069084629,0.060712241,0,0.015285586,0,0.124203031,0,0,0,0.035812343,0
Otu000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000078,0,0,0,0,0,0,0,0,0,0.343110872,0,0.012355594,0.024738188,0.045897877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000079,0,0,0,0,0,0,0,0,0,0,0,0.691913264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000080,0,0,0,0,0,0,0,0,0,0,0.449961834,0.024711188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134825014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000082,0,0,0,0,0,0,0,0,0,0.787136706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.879398592,0,0,0
Otu000083,0,0,0.076745971,0,0,0,0.113073444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.069991521,0,0
Otu000084,0,0,0,0,0,0,0,0,0,0.248923574,0,0,0,0.025817556,0.004494281,0,0,0,0,0,0,0,0,0,0,0,0.554998844,0,0
Otu000085,0,0,0.959324635,0,0,0,0,0,0,0.188374596,0.152665622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96693327,0.818452381
