Group,Control,Control,Control
ASV000554,0.10128694,0.027110156,0.001648859
ASV000555,0,0.002476065,0
ASV000556,0,0,0
ASV000557,0,0,0
ASV000558,0,0,0
ASV000559,0.048955614,0.035321648,0
ASV000560,0.022845953,0.108254011,0
ASV000561,0.059580553,0.016225864,0
ASV000562,0.029790276,0.126314765,0
ASV000563,0,0.088304119,0
ASV000564,0,0,0
ASV000565,0,0,0
ASV000566,0,0,0
ASV000567,0,0,0
ASV000568,0,0,0
ASV000569,0,0,0
ASV000570,0,0,0
ASV000571,0,0,0
ASV000572,0.117165287,0.03565859,0
ASV000573,0.031600569,0.0718248,0
ASV000574,0.071801567,0.056492444,0
ASV000575,0,0,0
ASV000576,0.115063582,0.051216389,0
ASV000577,0.087245841,0.051216389,0.003297718
ASV000578,0,0.038536427,0
ASV000579,0,0.053648069,0
ASV000580,0,0,0
ASV000581,0,0,3.552729993
ASV000582,0.298741168,0,0
ASV000583,0,0.03813078,0
ASV000584,0,0.079535235,0
ASV000585,0,0,0
ASV000586,0,0,0
ASV000587,0.016318538,0.114558355,0
ASV000588,0,0,0.589159466
ASV000589,0,0,0
ASV000590,0.007900142,0.063652018,0.013190872
ASV000591,0,0,0
ASV000592,0,0,0
ASV000593,0,0,0
ASV000594,0,0,0
ASV000595,0.158016767,0.019808518,0
ASV000596,0.003263708,0.053346336,0
ASV000597,0,0,0
ASV000598,0,0,0
ASV000599,0.067151209,0.060115036,0
ASV000600,0.062010444,0.064286535,0
ASV000601,0.052219321,0.064462007,0
ASV000602,0,0.078590666,0
ASV000603,0,0,0
ASV000604,0,0,0
ASV000605,0.15116806,0.016777783,0
ASV000606,0.057366386,0.077461449,0
ASV000607,0.279303729,0,0.021435167
ASV000608,0,0.049518542,0.055370986
ASV000609,0,0.077707625,0
ASV000610,0,0.077707625,0
ASV000611,0,0.071526337,0
ASV000612,0,0,0
ASV000613,0,0,0
ASV000614,0,0,0
ASV000615,0.022845953,0.111395357,0
ASV000616,0,0.058280719,0
ASV000617,0,0,0
ASV000618,0,0,0
ASV000619,0.10665192,0.086239509,0
ASV000620,0.125379692,0.037970771,0
ASV000621,0.110784024,0.010729614,0.003297718
ASV000622,0,0.06622809,0
ASV000623,0,0.027374277,0
ASV000624,0,0,0
ASV000625,0,0,0
ASV000626,0,0,0
ASV000627,0,0,0
ASV000628,0,0,0
ASV000629,0,0,0
ASV000630,0,0,0
ASV000631,0,0,0
ASV000632,0.07110128,0.038853813,0
ASV000633,0.051182814,0.176872571,0
ASV000634,0,0,0
ASV000635,0,0,0
ASV000636,0,0,0
ASV000637,0,0,0
ASV000638,0.042428198,0.035490261,0
ASV000639,0,0.07417546,0
ASV000640,0,0.099155835,0
ASV000641,0,0,0
ASV000642,0,0,0
ASV000643,0,0,0
ASV000644,0.248221161,0,0
ASV000645,0.062010444,0,0
ASV000646,0,0.063552328,0
ASV000647,0,0,0
ASV000648,0,0,0
ASV000649,0,0,0.128611001
ASV000650,0.055483029,0.019426906,0
ASV000651,0,0.072409378,0
ASV000652,0,0.069760254,0
ASV000653,0,0,0
ASV000654,0,0,0
ASV000655,0,0,0
ASV000656,0,0,0
ASV000657,0,0,0
ASV000658,0,0,4.186713946
ASV000659,0.071801567,0,0
ASV000660,0,0,0
ASV000661,0,0,0
ASV000662,0.01305483,0.063578966,0
ASV000663,0,0,0
ASV000664,0,0,0
ASV000665,0,0,0
ASV000666,0,0,0
ASV000667,0.081410656,0.03827695,0
ASV000668,0.093611013,0.039586843,0
ASV000669,0.003950071,0.023842112,0
ASV000670,0,0.058977652,0
ASV000671,0,0.068877213,0
ASV000672,0,0,0
ASV000673,0.05325948,0.072998621,0
ASV000674,0.091765272,0.033014196,0
ASV000675,0,0.030829142,0
ASV000676,0,0.063552328,0
ASV000677,0,0,0
ASV000678,0,0,0
ASV000679,0,0,0
ASV000680,0,0,0
ASV000681,0,0,0
ASV000682,0.229387639,0.005777484,0
ASV000683,0.066719943,0.024725153,0
ASV000684,0.130548303,0.028887422,0
ASV000685,0,0.075036848,0
ASV000686,0,0,0
ASV000687,0,0,0
ASV000688,0.192014267,0.025874433,0
ASV000689,0.274510185,0.018759212,0
ASV000690,0.059251067,0.080009106,0
ASV000691,0.019750356,0.036204689,0
ASV000692,0.045691906,0.052982472,0
ASV000693,0.039164491,0.035321648,0
ASV000694,0,0,0
ASV000695,0.10770235,0.0150117,0
ASV000696,0,0.055631595,0
ASV000697,0,0,0
ASV000698,0,0,0
ASV000699,0,0,0
ASV000700,0,0,0
