Group,Class,Long,Short,Daily
ASV0114,Bacilli,0.036374158,0.001500074,0.003957262
ASV0115,Gammaproteobacteria,0.00053794,0.008514942,0.032666327
ASV0116,Gammaproteobacteria,0.147915852,0.062073675,0.004187555
ASV0120,Alphaproteobacteria,0.120131219,0.094682871,0.053264829
ASV0123,Alphaproteobacteria,0.124307599,0.000697131,0
ASV0126,Bacteroidia,0.026804751,0.106586369,0.093084662
ASV0127,Negativicutes,0,0,0
ASV0128,Bacilli,0.000723263,0.008071347,0.011054444
ASV0129,Gammaproteobacteria,0.013834723,0.330410747,0.082574491
ASV0130,Gammaproteobacteria,0.107050553,0.000646684,0
ASV0132,Deltaproteobacteria,0.155009239,0.000646684,0
ASV0136,Alphaproteobacteria,0.001317996,0.010309983,0.011787713
ASV0137,Gammaproteobacteria,0.023523531,0.114330416,0.122248583
ASV0138,Gammaproteobacteria,0.05923093,0.057031268,0.094952456
ASV0140,Deltaproteobacteria,0.087716471,0.094236303,0.018300094
ASV0141,Alphaproteobacteria,0.018573516,0.160653129,0.233315529
ASV0142,Gammaproteobacteria,0.000896567,0.010130088,0.029477064
ASV0143,Gammaproteobacteria,0.000194411,0.001847483,0
ASV0147,Alphaproteobacteria,0.057998719,0.000402285,0.000761105
ASV0148,Bacteroidia,0,0.000462513,0.002206921
ASV0149,Gammaproteobacteria,0.103008873,0.032569935,0.00234928
ASV0150,Alphaproteobacteria,0.042068903,0.095136702,0.112756941
ASV0152,Alphaproteobacteria,0.00025498,0.175699935,0.12480897
ASV0153,Deltaproteobacteria,0.123884548,0,0
ASV0154,Gammaproteobacteria,0.003300481,0.003987004,0.011060204
ASV0156,Bacilli,0,0,0
ASV0157,Bacteroidia,0.119500053,0.00944872,0
ASV0158,Bacteroidia,0.155866781,0,0
ASV0159,Bacteroidia,8.96568E-05,0.003655574,0.015339718
ASV0163,Alphaproteobacteria,0.001187739,0,0.002162606
ASV0164,Cloacimonadia,0.081221454,0,0
ASV0166,Bacteroidia,0.08577751,0.012332622,0.000976047
ASV0167,Actinobacteria,0,0,0
ASV0168,Alphaproteobacteria,0.051050345,0.027723212,0.023745567
ASV0169,Bacilli,0,0,0.000791452
ASV0172,Alphaproteobacteria,0.052470651,0.075983868,0.075271734
ASV0173,Deltaproteobacteria,0.107752333,0,0
ASV0174,Spirochaetia,0.101612366,0.023270183,0.020812743
ASV0175,Cloacimonadia,0.25917788,0,0
ASV0177,Bacteroidia,0,0,0
ASV0178,Alphaproteobacteria,0.074794376,0,0
ASV0179,Spirochaetia,0.195565813,0,0
ASV0180,Bacilli,0,0,0
ASV0181,Gammaproteobacteria,0.00026897,0.002554323,0.01107205
ASV0182,Alphaproteobacteria,0.007733838,0.119904942,0.045742189
ASV0184,Bacteroidia,0.010522714,0,0
ASV0186,Gammaproteobacteria,0,0,0.00105527
ASV0187,Gammaproteobacteria,0.001490493,0.002062692,0.002551417
ASV0188,Deltaproteobacteria,0.105152731,0.00940653,0
ASV0189,Bacteroidia,0.0017497,0,0
ASV0190,Gammaproteobacteria,0.07048601,0.011165934,0.005176075
ASV0191,Clostridia,0.44049335,0,0
ASV0192,Alphaproteobacteria,0.005951559,0.025389418,0.073711336
ASV0193,Gammaproteobacteria,0,0.001774591,0.004134729
ASV0194,Cloacimonadia,0.003433414,0,0
ASV0195,Verrucomicrobiae,0.070584723,0.076589463,0.056637186
ASV0196,Clostridia,0,0.005058219,0.017789074
ASV0197,Alphaproteobacteria,0.04732716,0.007204753,0.006358479
ASV0199,Deltaproteobacteria,0.174156992,0,0.000131909
ASV0200,Alphaproteobacteria,0.000994236,0.003984444,0.010970307
ASV0201,Phycisphaerae,0.156447025,0.001109197,0
ASV0203,Clostridia,0.000236106,0.004608864,0.010778686
ASV0205,Gammaproteobacteria,0.045305172,0.000462513,0.004066848
ASV0206,Actinobacteria,0,0,0
ASV0207,Gammaproteobacteria,0.006846427,0.003211403,0.002901992
ASV0208,Gammaproteobacteria,0.000181316,0.004366618,0.021248706
ASV0209,Actinobacteria,0,0.000137568,0.000263817
