Group,L0_7,L0_8,L0_9,L1_7,L1_8,L1_9,L3_7,L4_7,L4_8,L4_9,L6_7,L8_9,L9_7,L9_8,L9_9,L10_7,L10_8,L10_9,L11_7,L11_8,L11_9,L12_7,L12_9,L13_7,L13_8,L13_9,L14_7,L14_8,L14_9,L16_9,L17_8,L17_9,L18_9,L19_8,L20_7,L20_8,L20_9,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,S19_4,S19_5,S19_6,S20_1_4,S20_1_5,S20_1_6,S20_2_4,S20_2_5,S20_2_6,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6,L0_B,L1_B,L2_B,L3_B,L5_B,L6_B,L8_B,L9_B,L10_B,L11_B,L12_B,L13_B,L14_B,L16_B,L18_B,L19_B,L20_B,S16_A,S17_A,S18_A,S19_A,S20_1_A,S20_2_A,S20_3_A,S20_4_A
ASV000021,0,0,0,0,0.029129042,0,0,0,0,0.047171295,0.021579629,0,0.031655587,0,0.018088089,0.069988802,0.012632643,0.085239381,0,0.016080617,0.031818423,0.086157381,0,0.015600624,0.010048232,0,0.111415838,0.040883074,0.031070374,0.034578147,0.238333205,0.181275325,0.043306708,0.085382514,0.610492419,0.567834367,0.852546028,0.686832246,0.873023572,0.655364012,0.418278783,0.434467777,0.121747384,0.51843318,0.054644809,0.602668963,0.131578947,0.264455722,0.405962575,0.823110408,1.067246245,0.973884182,0.29739777,0.867659147,0.481108757,0.242067952,0.463649852,0.468037936,0.373098632,0.506482982,0.279161008,0,0,0,0,0,0,0,1.359843412,0.055455428,0.336700337,0.165016502,0,0.07029877,0.01040691,0.102755722,0.073712338,0.083298626,0.687666371,0.015593326,0.318334337,0.03553029,17.57162808,1.482367005,2.858927208,0.218719049
ASV000022,0.029620853,0,0.030921459,0,0.087387125,0.062227754,1.498800959,0.127896255,0,0.056605554,0.064738886,1.56062425,0.369315184,0.048477797,0.18088089,0.195968645,0.050530571,0.241511578,0.572542332,0.96483705,1.516678157,0.631820793,1.377810007,0.07800312,0.140675241,0.204081633,0.574220089,0.190787681,0.124281498,5.889810973,6.089028984,3.721475794,0.625541334,7.095286885,1.080101972,1.432689788,1.472881075,1.144720411,1.387137453,0.370423137,0.209139391,1.001689597,0.266193434,0.8640553,1.953551913,4.068015497,2.5,1.908369666,1.807802093,0.047487139,0.116780744,0.061140711,0.669144981,0.228331354,0.203036723,2.299645543,2.716988131,1.453380958,1.473261265,0.648298217,3.689452241,0.049394912,0.045392646,0,0,0,0,0.019780437,0.030905532,0.027727714,0.091827365,0.036670334,0.035688794,0,0.01040691,0,0,0.013883104,0,0.046779978,0.06452723,0,0,0,0.09367844,0
ASV000023,0,0,0,0,0,0,0,0,0,0.044026542,0,0,0,0,0.009044044,0,0,0,0.012181752,0.005360206,0,0,0,0,0,0,0,0,0,0.011526049,0,0,0,0,0,0,0,0,0,0,0.01045697,0.048274197,0.047460845,0.072004608,0.013661202,0.043047783,0.342105263,0.264455722,0.279099271,3.943015433,5.277840854,5.668617346,3.271375465,3.269704996,3.703213277,1.25356618,1.548590504,0.99765981,0.277432316,0.131685575,0.520597555,0,0,0,0,0,0.022650057,0,0,0,0,0,0,0,0,0.009341429,0,0,0,0,0,0,0.004232088,0.011954573,0,0.004126775
ASV000024,0,0,0,0,0,0,0,0.002974332,0,0,0.014386419,0,0.063311174,0.009695559,0.072352356,0.104983203,0.050530571,0.085239381,0,0.021440823,0.063636846,0.114876508,0,0.015600624,0.080385852,0.038265306,0,0.027255383,0.015535187,0.518672199,0.138387022,0.170612071,0.074583774,0.162226776,0.03354354,0.069887307,0.072980594,0.568891356,0.65961781,0.833452059,1.892711492,0.404296404,0.553022018,0.979262673,0.423497268,3.293155402,0.144736842,0.557501251,1.979067555,2.282548476,4.528497745,1.94340117,0.594795539,1.854050598,1.094632768,0.77807556,1.381676558,0.763640842,0.975796422,1.549837925,0.452693526,0,0,0,0,0,0.611551529,0.029670656,0,0,0,0,0,0,0,0.009341429,0,0,0,0,0.030112708,0,0,0,0,0
ASV000025,0,0,0,0,0.029129042,0,0,0.03866631,0.261780105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013875399,0.029100786,0.007123522,0.094112726,0.060342747,0.00825406,0.028801843,0.081967213,0.043047783,0.144736842,0.335930241,0.317158262,2.814404432,3.821325461,2.598480217,1.338289963,2.128048224,2.193679379,0.639751016,1.288946588,0.973026235,0.23916579,0.141815235,0.24898144,0,0.090785293,0,0,0.165700083,16.09286523,0,0.010301844,0,0,0,0,0,0,0,0,0,0,0,0,0.004441286,0,0,0,0
ASV000026,0,0,0.030921459,0.127145582,0,0,0.299760192,0.035691978,0.087260035,0.066039813,0,1.50060024,0.105518624,0.17452007,0.072352356,0,0,0,0,0.016080617,0.037121493,0.028719127,0,0,0.030144695,0.06377551,0,0,0,0.080682342,0.030752672,0.106632544,0.336829949,0.554986339,0.020126124,0.122302787,0.189086084,0.568891356,0.223106024,0.223203685,0.951584231,1.074100893,3.380037556,7.531682028,1.571038251,2.841153681,2.223684211,0.679007934,1.192515065,1.098535813,0.762318747,1.09179841,0.817843866,0.767193351,1.152012712,0.155615112,0.185459941,0.566572238,0.334832106,0.050648298,0.120718274,0,0.090785293,0,0,0,0.033975085,0,0,0,0,0,0,0,0,0.009341429,0,0,0,0,0.718403166,0,0.084641754,0.119545726,0,0.041267745
ASV000027,0,0,0,0.190718373,0,0.560049782,0,0.017845989,0,0,0,0,0,0,0,0.01399776,0,0,0.012181752,0.005360206,0.00530307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0,0,0,0.013241525,0,0,0,0,0,0,0,2.632773491,2.012808783,0,1.491300746,0,0,6.016276914,8.304450298,6.529945924,2.823615695,1.802284083,0.576449912,0.135289832,0.177487156,0.018428084,0.013883104,0.310559006,0.031186652,0.391465198,3.593000533,4.536798002,0.490137478,4.354312678,0.251733245
ASV000028,0,0,0,0,0,0,0,0.05948663,0.087260035,0.103776848,0,0.06002401,0.094966762,0.009695559,0.009044044,0.167973124,0.517938353,0.53984941,0.048727007,1.22212693,0.880309699,1.062607697,1.051486584,0.670826833,0.241157556,2.410714286,0.4713747,0.422458436,0.295168557,1.63669894,0.322903052,0.55448923,4.371571552,5.011953552,0.489735677,0.218397833,0.59379665,0.353822672,0.300708119,0.14009593,0.449649692,0.241370987,0.404448938,0.835253456,0.163934426,0.215238915,0.302631579,0.22157101,0.329844592,0.186782746,0.240049307,0.126648616,0.223048327,0.182665084,0.322210452,0.034581136,0.074183976,0.147801453,0.220032527,0.060777958,0.226346763,0.049394912,0,0,0,0,0,0.06923153,0.010301844,0,0.010203041,0,0,0.042179262,0.062441461,0.009341429,0.055284253,0.041649313,0.029577048,0,0.077432677,0,0.025392526,0,0.024287003,0.012380324
ASV000029,0,0,0,0.063572791,0,0.124455507,0,0.383688766,0.087260035,2.27994591,0.00719321,0.06002401,0.474833808,0,0.135660667,2.176651736,1.844365841,1.44906947,0.07309051,0.032161235,0.265153524,0.143595635,0,17.23868955,2.743167203,5.12755102,0.008570449,0,0.015535187,0.034578147,0,0,0,0,0,0.017471827,0,0.201193284,0.194005238,0.097354799,0.177768483,0.28361091,0.532386868,0.144009217,0.12295082,0.150667241,0.631578947,0.250160818,0.678718681,0.04432133,0.081097739,0.170320552,0.223048327,0.045666271,0.039724576,0.726203856,0.50074184,0.320236482,1.540227686,0.547001621,0.528142448,0,0.272355878,0,0,0,0,0.059341311,0.030905532,0.152502426,0,0,0.035688794,0,0.041627641,0,0.147424675,0.09718173,0,0,0.004301815,0,0,0,0,0
ASV000030,0,0,0,0.063572791,0,0,0.119904077,0.05948663,0.087260035,0,0.014386419,0.06002401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011526049,0.053817175,0.021326509,0.185256472,0.145150273,0.013417416,0.017471827,0.023221098,0.145691689,0.164904452,0.121099872,1.484889679,0.150856867,0.895565506,0.748847926,3.183060109,5.832974602,2.710526316,2.172825388,4.827148747,0.21527503,0.301683589,0.227094069,0.074349442,0.118732304,0.242761299,1.089305784,1.428041543,0.455721148,1.454128002,3.504862237,0.724309642,0,0,0,0,0,0,0,0,0,0,0,0,0.007029877,0.02081382,0.037365717,0.046070211,0.055532417,0.347530316,0.109153282,0.524821475,0.18653402,0.021160438,0.035863718,0.058982722,0.160944206
