group,treatment0,treatment2_RGL,treatment3_daily,treatment4_LG,treatment5_RG,treatment7_beginning,treatment8_beg_end,treatment9_L_GR,treatment10_S_GR,treatment11_beg_end_S,treatment12_LS,coverage,nseqs,bergerparker,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci
S176plt4,S17_G,SG,,,SG,,,,SG,,SG,0.989423,1040,0.218269,53.333333,39.476624,110.081388,2.562079,2.493175,2.630983
S17Aplt4,S17_R,SR,,,SR,,,,SR,,,0.994129,1022,0.376712,51.75,48.6386,70.020811,2.512469,2.414552,2.610386
S184plt4,S18_G,SG,,,SG,S20_G,S20_G,,SG,S20_G,SG,0.993171,1025,0.428293,45.5,37.03458,89.188088,2.021741,1.924852,2.118631
S185plt4,S18_G,SG,,,SG,S20_G,S20_G,,SG,S20_G,SG,0.97456,1022,0.693738,143.333333,70.114312,369.225856,1.10127,1.01225,1.190291
S186plt4,S18_G,SG,,,SG,S20_G,S20_G,,SG,S20_G,SG,0.989205,1019,0.42787,35.111111,30.509868,53.734395,1.565655,1.491256,1.640053
S194plt4,S19_G,SG,,,SG,S20_R,,,SG,,SG,0.979492,1024,0.522461,68.333333,53.062255,112.530046,1.614781,1.520416,1.709146
S195plt4,S19_G,SG,,,SG,S20_G,S20_G,,SG,S20_G,SG,0.994129,1022,0.335616,44.75,41.6386,63.020811,2.502665,2.415998,2.589332
S196plt4,S19_G,SG,,,SG,S20_G,S20_G,,SG,S20_G,SG,0.98728,1022,0.540117,51.6,40.229841,93.534077,1.68256,1.590753,1.774367
S2014plt4,S20_1_G,,daily_1,,,,,,,,,0.998039,1020,0.167647,33.5,33.030262,41.261169,3.020963,2.96674,3.075185
S2015plt4,S20_1_G,,daily_1,,,,,,,,,0.982353,1020,0.467647,90.25,63.592645,178.206098,2.073322,1.967077,2.179567
S2016plt4,S20_1_G,,daily_1,,,,,,,,,0.997065,1022,0.273973,45.6,45.050626,52.11091,2.679885,2.591197,2.768574
S201Aplt4,S20_1_R,,,,,,,,,,,0.995112,1023,0.218964,46.333333,43.503451,65.06988,2.690604,2.6075,2.773707
S2024plt4,S20_2_G,SG,daily_2,,SG,S20_G,S20_G,,SG,S20_G,SG,0.991142,1016,0.367126,33,28.32833,54.101695,1.857523,1.785418,1.929627
S2025plt4,S20_2_G,SG,daily_2,,SG,S20_G,S20_G,,SG,S20_G,SG,0.963671,1046,0.280115,239.75,128.275932,544.5541,2.621859,2.5364,2.707317
S2026plt4,S20_2_G,SG,daily_2,,SG,S20_G,S20_G,,SG,S20_G,SG,0.997065,1022,0.643836,33.5,33.040234,39.213644,1.646633,1.539286,1.75398
S202Aplt4,S20_2_R,SR,,,SR,S20_R,,,SR,,,0.994152,1026,0.177388,51.5,45.32254,86.5318,3.031125,2.958477,3.103774
S2034plt4,S20_3_G,,daily_3,,,,,,,,,0.992172,1022,0.671233,29,17.920488,82.112081,1.08318,1.014549,1.151811
S2035plt4,S20_3_G,,daily_3,,,,,,,,,0.983333,1020,0.598039,71.333333,39.08734,183.030461,1.278926,1.205096,1.352756
S2036plt4,S20_3_G,,daily_3,,,,,,,,,0.993144,1021,0.570029,22.5,14.03458,66.188088,1.179068,1.125432,1.232705
S2044plt4,S20_4_G,,,,,,,,,,,0.987255,1020,0.759804,37.142857,29.055782,66.632236,0.912013,0.827688,0.996338
S2045plt4,S20_4_G,,daily_4,,,,,,,,,0.977407,1018,0.752456,96.25,53.661038,226.628341,1.006621,0.916225,1.097017
S2046plt4,S20_4_G,,daily_4,,,,,,,,,0.990157,1016,0.753937,61,29.660677,164.235703,0.902944,0.828093,0.977795
S204Aplt4,S20_4_R,,daily_4,,,,,,,,,0.993151,1022,0.210372,56.2,52.789764,74.335782,2.804,2.717333,2.890666
